"Time (s)"	"Recording (a.u.)"
0.000000000E0	8.761864071E-2
2.083333333E-5	8.270516068E-2
4.166666667E-5	8.120975372E-2
6.250000000E-5	8.493301187E-2
8.333333333E-5	8.600115970E-2
1.041666667E-4	8.798486282E-2
1.250000000E-4	9.021271401E-2
1.458333333E-4	8.716086306E-2
1.666666667E-4	7.782219916E-2
1.875000000E-4	6.936857204E-2
2.083333333E-4	5.978576006E-2
2.291666667E-4	4.284798730E-2
2.500000000E-4	2.890102847E-2
2.708333333E-4	2.059999390E-2
2.916666667E-4	1.126133000E-2
3.125000000E-4	7.080294198E-3
3.333333333E-4	1.312295907E-3
3.541666667E-4	-1.232947783E-2
3.750000000E-4	-2.975554674E-2
3.958333333E-4	-4.614398633E-2
4.166666667E-4	-6.241035188E-2
4.375000000E-4	-7.318338572E-2
4.583333333E-4	-7.727286599E-2
4.791666667E-4	-8.255256813E-2
5.000000000E-4	-8.832056642E-2
5.208333333E-4	-8.267464217E-2
5.416666667E-4	-7.998901334E-2
5.625000000E-4	-8.468886380E-2
5.833333333E-4	-8.621478927E-2
6.041666667E-4	-8.825952940E-2
6.250000000E-4	-9.091463973E-2
6.458333333E-4	-8.612323374E-2
6.666666667E-4	-7.797479171E-2
6.875000000E-4	-6.967375713E-2
7.083333333E-4	-5.917538987E-2
7.291666667E-4	-4.297006134E-2
7.500000000E-4	-3.079317606E-2
7.708333333E-4	-2.075258644E-2
7.916666667E-4	-1.129184851E-2
8.125000000E-4	-7.080294198E-3
8.333333333E-4	-2.014221625E-3
8.541666667E-4	1.199377422E-2
8.750000000E-4	2.905362102E-2
8.958333333E-4	4.538102359E-2
9.166666667E-4	6.149479659E-2
9.375000000E-4	7.251197851E-2
9.583333333E-4	7.593005158E-2
9.791666667E-4	8.209479049E-2
1.000000000E-3	8.774071474E-2
1.020833333E-3	8.307138279E-2
1.041666667E-3	8.041627247E-2
1.062500000E-3	8.374279000E-2
1.083333333E-3	8.581804865E-2
1.104166667E-3	8.761864071E-2
1.125000000E-3	8.966338084E-2
1.145833333E-3	8.597064119E-2
1.166666667E-3	7.834101382E-2
1.187500000E-3	6.924649800E-2
1.208333333E-3	6.024353771E-2
1.229166667E-3	4.358043153E-2
1.250000000E-3	2.975554674E-2
1.270833333E-3	2.093569750E-2
1.291666667E-3	1.171910764E-2
1.312500000E-3	7.354960784E-3
1.333333333E-3	1.739555040E-3
1.354166667E-3	-1.043733024E-2
1.375000000E-3	-2.737510300E-2
1.395833333E-3	-4.641865291E-2
1.416666667E-3	-6.085390790E-2
1.437500000E-3	-7.181005280E-2
1.458333333E-3	-7.693716239E-2
1.479166667E-3	-8.133182775E-2
1.500000000E-3	-8.789330729E-2
1.520833333E-3	-8.331553087E-2
1.541666667E-3	-7.934812464E-2
1.562500000E-3	-8.383434553E-2
1.583333333E-3	-8.633686331E-2
1.604166667E-3	-8.758812220E-2
1.625000000E-3	-9.036530656E-2
1.645833333E-3	-8.691671499E-2
1.666666667E-3	-7.834101382E-2
1.687500000E-3	-7.031464583E-2
1.708333333E-3	-5.960264901E-2
1.729166667E-3	-4.452650533E-2
1.750000000E-3	-3.012176885E-2
1.770833333E-3	-2.026429029E-2
1.791666667E-3	-1.254310739E-2
1.812500000E-3	-7.385479293E-3
1.833333333E-3	-1.770073550E-3
1.854166667E-3	1.040681173E-2
1.875000000E-3	2.743614002E-2
1.895833333E-3	4.596087527E-2
1.916666667E-3	5.963316752E-2
1.937500000E-3	7.211523789E-2
1.958333333E-3	7.684560686E-2
1.979166667E-3	8.191167943E-2
2.000000000E-3	8.835108493E-2
2.020833333E-3	8.432264168E-2
2.041666667E-3	8.078249458E-2
2.062500000E-3	8.352916044E-2
2.083333333E-3	8.633686331E-2
2.104166667E-3	8.774071474E-2
2.125000000E-3	8.990752892E-2
2.145833333E-3	8.795434431E-2
2.166666667E-3	7.876827296E-2
2.187500000E-3	7.058931242E-2
2.208333333E-3	6.039613025E-2
2.229166667E-3	4.449598682E-2
2.250000000E-3	2.960295419E-2
2.270833333E-3	2.117984558E-2
2.291666667E-3	1.327555162E-2
2.312500000E-3	7.171849727E-3
2.333333333E-3	2.777184362E-3
2.354166667E-3	-8.606219672E-3
2.375000000E-3	-2.716147343E-2
2.395833333E-3	-4.535050508E-2
2.416666667E-3	-5.999938963E-2
2.437500000E-3	-7.159642323E-2
2.458333333E-3	-7.712027345E-2
2.479166667E-3	-8.218634602E-2
2.500000000E-3	-8.850367748E-2
2.520833333E-3	-8.423108615E-2
2.541666667E-3	-8.038575396E-2
2.562500000E-3	-8.386486404E-2
2.583333333E-3	-8.645893735E-2
2.604166667E-3	-8.816797388E-2
2.625000000E-3	-9.018219550E-2
2.645833333E-3	-8.792382580E-2
2.666666667E-3	-7.876827296E-2
2.687500000E-3	-7.043671987E-2
2.708333333E-3	-6.149479659E-2
2.729166667E-3	-4.547257912E-2
2.750000000E-3	-3.057954649E-2
2.770833333E-3	-2.169866024E-2
2.791666667E-3	-1.458784753E-2
2.812500000E-3	-6.836146123E-3
2.833333333E-3	-3.234962004E-3
2.854166667E-3	9.430219428E-3
2.875000000E-3	2.697836238E-2
2.895833333E-3	4.504531999E-2
2.916666667E-3	6.027405622E-2
2.937500000E-3	7.135227515E-2
2.958333333E-3	7.705923643E-2
2.979166667E-3	8.249153111E-2
3.000000000E-3	8.850367748E-2
3.020833333E-3	8.407849361E-2
3.041666667E-3	8.032471694E-2
3.062500000E-3	8.462782678E-2
3.083333333E-3	8.539078951E-2
3.104166667E-3	8.764915922E-2
3.125000000E-3	9.060945463E-2
3.145833333E-3	8.856471450E-2
3.166666667E-3	7.925656911E-2
3.187500000E-3	7.110812708E-2
3.208333333E-3	6.228827784E-2
3.229166667E-3	4.486220893E-2
3.250000000E-3	3.268532365E-2
3.270833333E-3	2.298043764E-2
3.291666667E-3	1.297036653E-2
3.312500000E-3	8.178960540E-3
3.333333333E-3	3.082369457E-3
3.354166667E-3	-8.728293710E-3
3.375000000E-3	-2.667317728E-2
3.395833333E-3	-4.318369091E-2
3.416666667E-3	-5.972472304E-2
3.437500000E-3	-7.184057131E-2
3.458333333E-3	-7.577745903E-2
3.479166667E-3	-8.185064241E-2
3.500000000E-3	-8.819849239E-2
3.520833333E-3	-8.401745659E-2
3.541666667E-3	-8.087405011E-2
3.562500000E-3	-8.389538255E-2
3.583333333E-3	-8.560441908E-2
3.604166667E-3	-8.786278878E-2
