"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
2.621775015E0	3.550660312E-1	-2.584216595E-1	2.948200703E-1	5.289352649E-1
2.623775348E0	3.666724861E-1	-2.407065630E-1	2.978743911E-1	5.302051625E-1
2.625778748E0	3.740028739E-1	-2.284892648E-1	2.990961373E-1	5.306071929E-1
2.627780114E0	3.849984407E-1	-2.046655118E-1	3.009287119E-1	5.297828430E-1
2.629782347E0	3.935505450E-1	-1.820634902E-1	3.015395701E-1	5.281621515E-1
2.631783680E0	3.990483284E-1	-1.722896546E-1	3.009287119E-1	5.286599882E-1
2.633784746E0	4.076004326E-1	-1.539636999E-1	3.015395701E-1	5.298764440E-1
2.635786712E0	4.130982459E-1	-1.460224390E-1	3.033721745E-1	5.329234370E-1
2.637788045E0	4.210394919E-1	-1.338051409E-1	3.039830327E-1	5.362683597E-1
2.639788011E0	4.289807379E-1	-1.258638948E-1	3.039830327E-1	5.406217510E-1
2.641789344E0	4.332567751E-1	-1.160900518E-1	3.064265251E-1	5.432177728E-1
2.643787444E0	4.350893795E-1	-1.087596640E-1	3.058156371E-1	5.428209987E-1
2.645788810E0	4.399763048E-1	-1.057053432E-1	3.058156371E-1	5.461464751E-1
2.647789776E0	4.442523420E-1	-1.075379401E-1	3.058156371E-1	5.499525033E-1
2.649791109E0	4.473066926E-1	-1.118139923E-1	3.052047789E-1	5.529336336E-1
2.651792442E0	4.485284090E-1	-1.160900518E-1	3.064265251E-1	5.554744361E-1
2.653793775E0	4.479175508E-1	-1.234204322E-1	3.052047789E-1	5.558891009E-1
2.655794675E0	4.491392970E-1	-1.319725513E-1	3.052047789E-1	5.588316558E-1
2.657796008E0	4.503610134E-1	-1.515202373E-1	3.045938909E-1	5.644119622E-1
2.659802574E0	4.503610134E-1	-1.680136025E-1	3.039830327E-1	5.687348215E-1
2.661803907E0	4.503610134E-1	-1.759548485E-1	3.033721745E-1	5.708062959E-1
2.663801807E0	4.503610134E-1	-1.930590719E-1	3.027613163E-1	5.759872067E-1
2.665803140E0	4.515827298E-1	-2.052763849E-1	3.033721745E-1	5.814636982E-1
2.667807140E0	4.521936178E-1	-2.089415789E-1	3.027613163E-1	5.829237223E-1
2.669808473E0	4.503610134E-1	-2.156610936E-1	3.027613163E-1	5.839513373E-1
2.671809806E0	4.479175508E-1	-2.187154144E-1	3.027613163E-1	5.832074926E-1
2.673811172E0	4.485284090E-1	-2.156610936E-1	3.027613163E-1	5.825391451E-1
2.675812838E0	4.491392970E-1	-2.058872432E-1	3.052047789E-1	5.807457465E-1
2.677814171E0	4.424197674E-1	-2.016111910E-1	3.045938909E-1	5.737244646E-1
2.679815537E0	4.411980212E-1	-1.863395572E-1	3.058156371E-1	5.682440746E-1
2.681816870E0	4.399763048E-1	-1.771765798E-1	3.070373535E-1	5.650155977E-1
2.683818203E0	4.332567751E-1	-1.667918712E-1	3.064265251E-1	5.562626869E-1
2.685817503E0	4.344785213E-1	-1.582397670E-1	3.064265251E-1	5.547149039E-1
2.687818836E0	4.253155589E-1	-1.454115957E-1	3.058156371E-1	5.436552775E-1
2.689819269E0	4.179851711E-1	-1.289182305E-1	3.088699579E-1	5.354737756E-1
2.691820635E0	4.161525667E-1	-1.264747679E-1	3.058156371E-1	5.316973101E-1
2.693822268E0	4.124873579E-1	-1.234204322E-1	3.052047789E-1	5.277578806E-1
2.695818401E0	4.076004326E-1	-1.203661114E-1	3.064265251E-1	5.239497388E-1
2.697819767E0	3.984374702E-1	-1.197552383E-1	3.027613163E-1	5.145465474E-1
2.699827467E0	3.886636496E-1	-1.234204322E-1	3.021504581E-1	5.075302305E-1
2.701828800E0	3.856092691E-1	-1.209769771E-1	3.027613163E-1	5.049696546E-1
2.703834600E0	3.740028739E-1	-1.283073574E-1	2.990961373E-1	4.957816324E-1
2.705835933E0	3.721702695E-1	-1.307508200E-1	2.960417867E-1	4.932009995E-1
2.707835833E0	3.623964190E-1	-1.399137974E-1	2.942092121E-1	4.873049309E-1
2.709837199E0	3.495682478E-1	-1.484659165E-1	2.917657495E-1	4.789231053E-1
2.711838532E0	3.446813226E-1	-1.515202373E-1	2.887113988E-1	4.744658768E-1
2.713839865E0	3.336857557E-1	-1.570180207E-1	2.868788242E-1	4.672261789E-1
2.715836531E0	3.239119053E-1	-1.612940878E-1	2.838245034E-1	4.598815651E-1
2.717837864E0	3.184141219E-1	-1.661809981E-1	2.807701826E-1	4.558898689E-1
2.719840530E0	3.019207418E-1	-1.655701399E-1	2.758832276E-1	4.412268813E-1
2.721841896E0	2.958121002E-1	-1.612940878E-1	2.722180486E-1	4.331549923E-1
2.723847896E0	2.829839587E-1	-1.619049460E-1	2.685528696E-1	4.223905493E-1
2.725849229E0	2.787078917E-1	-1.600723565E-1	2.667202353E-1	4.176612648E-1
2.727850129E0	2.652688324E-1	-1.502985060E-1	2.648876607E-1	4.038844726E-1
2.729851462E0	2.542732656E-1	-1.484659165E-1	2.563355267E-1	3.903907327E-1
2.731852795E0	2.481646091E-1	-1.393029392E-1	2.575572729E-1	3.838316439E-1
2.733854128E0	2.335038483E-1	-1.301399469E-1	2.545029521E-1	3.690964719E-1
2.735855161E0	2.231191397E-1	-1.148683280E-1	2.508377731E-1	3.548189280E-1
2.737856161E0	2.163996249E-1	-1.130357310E-1	2.471725792E-1	3.474192828E-1
2.739863261E0	1.937976032E-1	-9.654236585E-2	2.416747957E-1	3.244759565E-1
2.741864594E0	1.901324093E-1	-8.921198547E-2	2.380096018E-1	3.174235057E-1
2.743866660E0	1.821911782E-1	-8.310332894E-2	2.373987287E-1	3.105767942E-1
2.745868126E0	1.705847383E-1	-6.844256818E-2	2.319009453E-1	2.959080710E-1
2.747869459E0	1.571456939E-1	-6.294477731E-2	2.288466245E-1	2.846534589E-1
2.749870825E0	1.430957913E-1	-5.133833736E-2	2.276248783E-1	2.737245250E-1
2.751872158E0	1.388197392E-1	-5.011660606E-2	2.239596844E-1	2.682173269E-1
2.753873491E0	1.241589710E-1	-4.339708760E-2	2.215162367E-1	2.576202640E-1
2.755874591E0	1.113307998E-1	-3.728843853E-2	2.154075801E-1	2.453271290E-1
2.757875924E0	1.076656133E-1	-3.606670722E-2	2.160184532E-1	2.440423402E-1
2.759870890E0	8.933965117E-2	-2.934718877E-2	2.074663192E-1	2.277830204E-1
2.761872256E0	8.262012899E-2	-3.179064766E-2	2.080771923E-1	2.261257370E-1
2.763869156E0	7.712234557E-2	-2.629286237E-2	2.080771923E-1	2.234620522E-1
2.765870156E0	6.551590562E-2	-2.262767032E-2	2.044119984E-1	2.158439493E-1
2.767869256E0	5.452033132E-2	-2.079507522E-2	2.013576776E-1	2.096421141E-1
2.769870589E0	4.413562268E-2	-1.590815187E-2	1.983033419E-1	2.037774224E-1
2.771871922E0	3.802697361E-2	-1.774074882E-2	1.964707524E-1	2.009018204E-1
2.773873288E0	2.947486006E-2	-1.468642242E-2	1.952490211E-1	1.980066630E-1
2.775874954E0	2.397707105E-2	-1.163209602E-2	1.946381480E-1	1.964541021E-1
2.777875954E0	1.298149768E-2	-5.523443688E-3	1.909729540E-1	1.914933338E-1
2.779870754E0	1.985922921E-3	-7.966904901E-3	1.891403794E-1	1.893185110E-1
2.781872087E0	-8.398786187E-3	-1.102123037E-2	1.897512376E-1	1.902565092E-1
2.783868753E0	-1.328570861E-2	-5.523443688E-3	1.866969168E-1	1.872505200E-1
2.785874819E0	-2.367041819E-2	-6.134308875E-3	1.836425960E-1	1.852633842E-1
2.787871652E0	-3.222253174E-2	-5.523443688E-3	1.830317229E-1	1.859285120E-1
2.789874485E0	-4.077464342E-2	-9.188635275E-3	1.830317229E-1	1.877434797E-1
2.791876551E0	-4.627243057E-2	-9.799500927E-3	1.787556559E-1	1.849074162E-1
2.793877584E0	-5.665713921E-2	-9.799500927E-3	1.781448126E-1	1.871941129E-1
2.795879217E0	-5.910060182E-2	-1.224296074E-2	1.781448126E-1	1.880913222E-1
2.797880917E0	-7.131791115E-2	-1.346469205E-2	1.750904620E-1	1.895368361E-1
2.799876483E0	-7.681569457E-2	-1.224296074E-2	1.726470143E-1	1.893608527E-1
2.801877816E0	-8.292434365E-2	-1.163209602E-2	1.708144248E-1	1.902349078E-1
2.803878449E0	-9.147646278E-2	-1.224296074E-2	1.702035517E-1	1.936158111E-1
2.805879649E0	-9.941770881E-2	-1.529728808E-2	1.695926785E-1	1.971790163E-1
2.807881015E0	-1.024720296E-1	-1.041036472E-2	1.671492308E-1	1.963358294E-1
2.809882348E0	-1.177436709E-1	-1.102123037E-2	1.653166413E-1	2.032600095E-1
2.811883681E0	-1.207979918E-1	-1.041036472E-2	1.634840369E-1	2.035376153E-1
2.813885047E0	-1.275175065E-1	-7.966904901E-3	1.628731638E-1	2.070068925E-1
2.815886313E0	-1.317935586E-1	-8.577770554E-3	1.634840369E-1	2.101669588E-1
2.817887646E0	-1.403456777E-1	-4.912578035E-3	1.610405743E-1	2.136705624E-1
2.819889012E0	-1.464543343E-1	-6.365215522E-4	1.585971117E-1	2.158757073E-1
2.821890345E0	-1.488977969E-1	3.639535280E-3	1.598188430E-1	2.184624973E-1
2.823891678E0	-1.556173116E-1	3.028669860E-3	1.549319178E-1	2.196128859E-1
2.825893378E0	-1.647802889E-1	6.693861447E-3	1.543210596E-1	2.258591172E-1
2.827900844E0	-1.629476994E-1	7.304726634E-3	1.524884701E-1	2.232891517E-1
2.829902177E0	-1.745541394E-1	1.219164860E-2	1.488232762E-1	2.297088405E-1
2.831903543E0	-1.739432663E-1	1.341337897E-2	1.469906718E-1	2.281281136E-1
2.833904876E0	-1.788301915E-1	1.891116798E-2	1.469906718E-1	2.322587506E-1
2.835911409E0	-1.831062436E-1	1.830030046E-2	1.451580822E-1	2.343793214E-1
2.837913109E0	-1.873823106E-1	2.501981892E-2	1.421037465E-1	2.364986183E-1
2.839914442E0	-1.916583627E-1	2.807414345E-2	1.378276944E-1	2.377342190E-1
2.841915775E0	-1.959344149E-1	3.418279812E-2	1.384385526E-1	2.423303354E-1
2.843917075E0	-1.989887357E-1	3.173933551E-2	1.347733587E-1	2.424206273E-1
2.845914941E0	-2.032648027E-1	3.906971961E-2	1.298864484E-1	2.443634843E-1
2.847916274E0	-2.050973922E-1	4.456750304E-2	1.292755753E-1	2.465022860E-1
2.849916174E0	-2.081517130E-1	5.311962217E-2	1.256103963E-1	2.488509625E-1
2.851916807E0	-2.069299966E-1	5.373048410E-2	1.243886575E-1	2.473449545E-1
2.853922407E0	-2.112060487E-1	6.167173386E-2	1.213343292E-1	2.512636409E-1
2.855923773E0	-2.130386531E-1	6.778039038E-2	1.170582697E-1	2.523534972E-1
2.857927873E0	-2.148712426E-1	7.877596468E-2	1.146148145E-1	2.559528457E-1
2.859929206E0	-2.179255635E-1	8.916066587E-2	1.109496206E-1	2.602902108E-1
2.861930572E0	-2.154821008E-1	9.343673289E-2	1.097278893E-1	2.592357393E-1
2.863931905E0	-2.197581679E-1	1.019888371E-1	1.054518372E-1	2.642261630E-1
2.865933238E0	-2.191472948E-1	1.087083593E-1	1.030083746E-1	2.654312894E-1
2.867934571E0	-2.215907574E-1	1.178713366E-1	9.934318811E-2	2.699355197E-1
2.869936137E0	-2.228124887E-1	1.258125901E-1	9.384539723E-2	2.725457237E-1
2.871937470E0	-2.228124887E-1	1.288669109E-1	9.506712109E-2	2.743899476E-1
2.873938803E0	-2.234233618E-1	1.337538362E-1	8.956933767E-2	2.753738432E-1
2.875940469E0	-2.203690410E-1	1.398624927E-1	8.773674071E-2	2.753575253E-1
2.877943769E0	-2.203690410E-1	1.423059404E-1	8.407154679E-2	2.754660049E-1
2.879945102E0	-2.215907574E-1	1.441385299E-1	8.040636033E-2	2.763033882E-1
2.881946435E0	-2.209798843E-1	1.447494030E-1	7.735203207E-2	2.752595789E-1
2.883947801E0	-2.215907574E-1	1.447494030E-1	7.429770380E-2	2.749090799E-1
2.885950734E0	-2.191472948E-1	1.429168135E-1	7.429770380E-2	2.719759202E-1
2.887945934E0	-2.191472948E-1	1.429168135E-1	7.063251734E-2	2.709976105E-1
2.889949767E0	-2.179255635E-1	1.416950822E-1	6.757818907E-2	2.685811966E-1
2.891951100E0	-2.167038471E-1	1.404733360E-1	6.941077858E-2	2.674157281E-1
2.893952433E0	-2.160929739E-1	1.398624927E-1	6.574559212E-2	2.656692928E-1
2.895948599E0	-2.173146904E-1	1.349755526E-1	6.513472646E-2	2.639822097E-1
2.897949632E0	-2.160929739E-1	1.374190152E-1	6.391299516E-2	2.639413383E-1
2.899950965E0	-2.136495113E-1	1.288669109E-1	6.024780497E-2	2.566760457E-1
2.901952365E0	-2.105951905E-1	1.306995153E-1	6.024780497E-2	2.550735102E-1
2.903953765E0	-2.118169069E-1	1.276451796E-1	6.024780497E-2	2.545378006E-1
2.905953531E0	-2.105951905E-1	1.270343214E-1	5.963693932E-2	2.530703808E-1
2.907954897E0	-2.057082653E-1	1.258125901E-1	6.024780497E-2	2.485447570E-1
2.909957863E0	-2.044865191E-1	1.221473888E-1	5.780434236E-2	2.451041882E-1
2.911959196E0	-2.032648027E-1	1.227582544E-1	5.841521174E-2	2.445373305E-1
2.913957062E0	-2.026539296E-1	1.190930605E-1	5.780434236E-2	2.420601459E-1
2.915958395E0	-2.002104819E-1	1.190930605E-1	5.841521174E-2	2.401660490E-1
2.917956961E0	-1.989887357E-1	1.178713366E-1	5.841521174E-2	2.385424614E-1
2.919958327E0	-1.983778775E-1	1.160387397E-1	5.597174913E-2	2.365409226E-1
2.921959660E0	-1.983778775E-1	1.184822023E-1	5.902607739E-2	2.384866712E-1
2.923960993E0	-1.959344149E-1	1.135952771E-1	5.536088720E-2	2.331501871E-1
2.925962359E0	-1.941018254E-1	1.105409563E-1	5.536088720E-2	2.301296362E-1
2.927963692E0	-1.953235418E-1	1.080974862E-1	5.536088720E-2	2.300025659E-1
2.929964792E0	-1.977670193E-1	1.068757623E-1	5.658261478E-2	2.318098677E-1
2.931966158E0	-1.928800941E-1	1.025997102E-1	5.719348043E-2	2.258329591E-1
2.933967158E0	-1.934909523E-1	1.007671133E-1	5.658261478E-2	2.253760236E-1
2.935969624E0	-1.959344149E-1	1.019888371E-1	5.780434236E-2	2.283273085E-1
2.937969024E0	-1.965452880E-1	9.588018805E-2	5.658261478E-2	2.258863718E-1
2.939970357E0	-1.989887357E-1	9.404759109E-2	5.536088720E-2	2.269499816E-1
2.941971690E0	-1.983778775E-1	9.588018805E-2	5.597174913E-2	2.273315408E-1
2.943972790E0	-1.995996088E-1	9.649105370E-2	5.597174913E-2	2.286555575E-1
2.945972523E0	-2.014321983E-1	9.404759109E-2	5.352829024E-2	2.286594799E-1
2.947976523E0	-2.026539296E-1	9.160413593E-2	5.230655521E-2	2.284642393E-1
2.949975389E0	-2.057082653E-1	9.404759109E-2	5.230655521E-2	2.321568770E-1
2.951976722E0	-2.063191235E-1	9.282585979E-2	5.230655521E-2	2.322072279E-1
2.953978088E0	-2.099843174E-1	9.465845674E-2	5.291742459E-2	2.363342777E-1
2.955979721E0	-2.099843174E-1	1.001562402E-1	5.352829024E-2	2.387257084E-1
2.957981354E0	-2.136495113E-1	9.893451631E-2	4.925223067E-2	2.405409205E-1
2.959987920E0	-2.154821008E-1	1.038214341E-1	4.864136502E-2	2.440848384E-1
2.961989353E0	-2.130386531E-1	1.044323072E-1	4.741963744E-2	2.419508143E-1
2.963991686E0	-2.185364366E-1	1.093192250E-1	4.375444353E-2	2.482404447E-1
2.965993386E0	-2.215907574E-1	1.129844114E-1	4.070011899E-2	2.520405536E-1
2.967994519E0	-2.246450782E-1	1.148170084E-1	4.131098464E-2	2.556461500E-1
2.969994185E0	-2.295320034E-1	1.123735532E-1	3.764579445E-2	2.583214313E-1
2.971995551E0	-2.307537347E-1	1.172604710E-1	3.581319749E-2	2.613042083E-1
2.973996417E0	-2.331971824E-1	1.190930605E-1	3.275886923E-2	2.638886630E-1
2.975997750E0	-2.331971824E-1	1.203147992E-1	2.970454469E-2	2.640813071E-1
2.977999116E0	-2.386949807E-1	1.184822023E-1	2.787194774E-2	2.679368798E-1
2.980006582E0	-2.454145104E-1	1.172604710E-1	2.542848699E-2	2.731755990E-1
2.982007915E0	-2.454145104E-1	1.172604710E-1	2.115243115E-2	2.728107866E-1
2.984009481E0	-2.496905476E-1	1.154278740E-1	1.870896854E-2	2.757154134E-1
2.986010814E0	-2.564100623E-1	1.129844114E-1	1.626550779E-2	2.806709177E-1
2.988013180E0	-2.594644129E-1	1.142061427E-1	1.198945194E-2	2.837403242E-1
2.990014546E0	-2.667948008E-1	1.172604710E-1	6.491664797E-3	2.914989288E-1
2.992015879E0	-2.716816962E-1	1.178713366E-1	4.659069236E-3	2.961862640E-1
2.994017545E0	-2.729034424E-1	1.197039336E-1	1.604742953E-3	2.980065365E-1
2.996017478E0	-2.796229422E-1	1.197039336E-1	-3.282178892E-3	3.041854602E-1
2.998018811E0	-2.881750762E-1	1.233691275E-1	-8.779966272E-3	3.135951275E-1
3.000021744E0	-2.948946059E-1	1.264234483E-1	-1.366688870E-2	3.211424928E-1
3.002023110E0	-3.022249639E-1	1.264234483E-1	-1.427775342E-2	3.279125971E-1
3.004024676E0	-3.083336055E-1	1.233691275E-1	-2.099727094E-2	3.327618357E-1
3.006026009E0	-3.132205606E-1	1.264234483E-1	-2.649505809E-2	3.388096751E-1
3.008024409E0	-3.168857396E-1	1.245908514E-1	-2.588419430E-2	3.414812494E-1
3.010028442E0	-3.303247690E-1	1.239799857E-1	-3.443630785E-2	3.545015503E-1
3.012029775E0	-3.339899480E-1	1.227582544E-1	-3.687976673E-2	3.577415151E-1
3.014031108E0	-3.394877613E-1	1.239799857E-1	-3.932322562E-2	3.635509496E-1
