"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	9.252557414E-1
4.687500000E1	9.924923307E-1
7.031250000E1	9.537863406E-1
9.375000000E1	9.103657203E-1
1.171875000E2	8.979126863E-1
1.406250000E2	9.228856856E-1
1.640625000E2	9.640875953E-1
1.875000000E2	9.849932940E-1
2.109375000E2	1.014326382E0
2.343750000E2	1.018302601E0
2.578125000E2	1.025519830E0
2.812500000E2	1.044589231E0
3.046875000E2	1.044172802E0
3.281250000E2	1.032786204E0
3.515625000E2	1.098370759E0
3.750000000E2	1.126259781E0
3.984375000E2	1.140382472E0
4.218750000E2	1.159340980E0
4.453125000E2	1.183770656E0
4.687500000E2	1.274601542E0
4.921875000E2	1.289103091E0
5.156250000E2	1.341423056E0
5.390625000E2	1.400742620E0
5.625000000E2	1.447482537E0
5.859375000E2	1.522857344E0
6.093750000E2	1.612906052E0
6.328125000E2	1.712024703E0
6.562500000E2	1.838791530E0
6.796875000E2	1.911670712E0
7.031250000E2	2.085165597E0
7.265625000E2	2.193535614E0
7.500000000E2	2.411010267E0
7.734375000E2	2.605544884E0
7.968750000E2	2.894278718E0
8.203125000E2	3.360077656E0
8.437500000E2	3.814819768E0
8.671875000E2	4.458256786E0
8.906250000E2	5.299331656E0
9.140625000E2	6.761099319E0
9.375000000E2	9.293843998E0
9.609375000E2	1.476574064E1
9.843750000E2	3.677696740E1
1.007812500E3	7.296431981E1
1.031250000E3	1.819410271E1
1.054687500E3	1.037958014E1
1.078125000E3	7.193177312E0
1.101562500E3	5.578337379E0
1.125000000E3	4.536696107E0
1.148437500E3	3.805172745E0
1.171875000E3	3.295489012E0
1.195312500E3	2.883734143E0
1.218750000E3	2.495986072E0
1.242187500E3	2.339535983E0
1.265625000E3	2.152472922E0
1.289062500E3	1.910315025E0
1.312500000E3	1.781666598E0
1.335937500E3	1.660826511E0
1.359375000E3	1.534518736E0
1.382812500E3	1.384525781E0
1.406250000E3	1.356197752E0
1.429687500E3	1.326634955E0
1.453125000E3	1.196184440E0
1.476562500E3	1.150959688E0
1.500000000E3	1.100936237E0
1.523437500E3	1.062851897E0
1.546875000E3	1.000721528E0
1.570312500E3	9.759825228E-1
1.593750000E3	9.308532797E-1
1.617187500E3	8.836937011E-1
1.640625000E3	8.546817039E-1
1.664062500E3	8.369089641E-1
1.687500000E3	8.031023188E-1
1.710937500E3	7.791643099E-1
1.734375000E3	7.472054767E-1
1.757812500E3	7.223170998E-1
1.781250000E3	7.027496941E-1
1.804687500E3	6.830709309E-1
1.828125000E3	6.601263839E-1
1.851562500E3	6.536475188E-1
1.875000000E3	6.236104294E-1
1.898437500E3	5.985180655E-1
1.921875000E3	5.881501704E-1
1.945312500E3	5.847572195E-1
1.968750000E3	5.648832410E-1
1.992187500E3	5.461600273E-1
2.015625000E3	5.430343070E-1
2.039062500E3	5.247062208E-1
2.062500000E3	5.091478295E-1
2.085937500E3	5.146649210E-1
2.109375000E3	4.937087502E-1
2.132812500E3	4.893096897E-1
2.156250000E3	4.753063541E-1
2.179687500E3	4.722772414E-1
2.203125000E3	4.495649225E-1
2.226562500E3	4.464066099E-1
2.250000000E3	4.465972930E-1
2.273437500E3	4.322215052E-1
2.296875000E3	4.253840687E-1
2.320312500E3	4.271053353E-1
2.343750000E3	4.055946814E-1
2.367187500E3	3.997426363E-1
2.390625000E3	3.910468934E-1
2.414062500E3	3.962734478E-1
2.437500000E3	3.896537072E-1
2.460937500E3	3.837570263E-1
2.484375000E3	3.847038596E-1
2.507812500E3	3.720377523E-1
2.531250000E3	3.569952223E-1
2.554687500E3	3.605103681E-1
2.578125000E3	3.480887189E-1
2.601562500E3	3.504703973E-1
2.625000000E3	3.458695617E-1
