"Time (s)"	"Recording (a.u.)"
3.104166667E-3	-8.774071474E-2
3.125000000E-3	-8.523819697E-2
3.145833333E-3	-7.748649556E-2
3.166666667E-3	-7.257301553E-2
3.187500000E-3	-7.168797876E-2
3.208333333E-3	-6.961272011E-2
3.229166667E-3	-6.918546098E-2
3.250000000E-3	-7.327494125E-2
3.270833333E-3	-7.770012513E-2
3.291666667E-3	-7.968382824E-2
3.312500000E-3	-7.394634846E-2
3.333333333E-3	-6.039613025E-2
3.354166667E-3	-5.185094760E-2
3.375000000E-3	-4.852443007E-2
3.395833333E-3	-4.278695029E-2
3.416666667E-3	-3.616443373E-2
3.437500000E-3	-2.920621357E-2
3.458333333E-3	-2.175969726E-2
3.479166667E-3	-1.916562395E-2
3.500000000E-3	-1.580858791E-2
3.520833333E-3	-8.514664144E-3
3.541666667E-3	-3.204443495E-3
3.562500000E-3	2.563554796E-3
3.583333333E-3	8.850367748E-3
3.604166667E-3	1.181066317E-2
3.625000000E-3	1.290932951E-2
3.645833333E-3	1.742606891E-2
3.666666667E-3	1.849421674E-2
3.687500000E-3	1.089510788E-2
3.708333333E-3	9.918515580E-3
3.729166667E-3	2.264473403E-2
3.750000000E-3	3.149510178E-2
3.770833333E-3	2.984710227E-2
3.791666667E-3	3.946043275E-2
3.812500000E-3	5.487228004E-2
3.833333333E-3	5.771050142E-2
3.854166667E-3	5.798516800E-2
3.875000000E-3	6.591998047E-2
3.895833333E-3	7.229834895E-2
3.916666667E-3	7.550279244E-2
3.937500000E-3	8.087405011E-2
3.958333333E-3	8.432264168E-2
3.979166667E-3	8.572649312E-2
4.000000000E-3	8.703878903E-2
4.020833333E-3	8.923612171E-2
4.041666667E-3	8.813745537E-2
4.062500000E-3	8.618427076E-2
4.083333333E-3	8.172856838E-2
4.104166667E-3	7.489242225E-2
4.125000000E-3	7.181005280E-2
4.145833333E-3	7.147434919E-2
4.166666667E-3	7.403790399E-2
4.187500000E-3	7.696768090E-2
4.208333333E-3	8.008056887E-2
4.229166667E-3	8.529923399E-2
4.250000000E-3	8.600115970E-2
4.270833333E-3	8.001953185E-2
4.291666667E-3	7.370220038E-2
4.312500000E-3	7.077242347E-2
4.333333333E-3	7.034516434E-2
4.354166667E-3	6.778160955E-2
4.375000000E-3	6.860560930E-2
4.395833333E-3	7.388531144E-2
4.416666667E-3	7.852412488E-2
4.437500000E-3	7.718131046E-2
4.458333333E-3	6.604205451E-2
4.479166667E-3	5.615405744E-2
4.500000000E-3	5.078279977E-2
4.520833333E-3	4.550309763E-2
4.541666667E-3	3.769035920E-2
4.562500000E-3	3.128147221E-2
4.583333333E-3	2.545243690E-2
4.604166667E-3	1.849421674E-2
4.625000000E-3	1.651051363E-2
4.645833333E-3	1.361125523E-2
4.666666667E-3	5.249183630E-3
4.687500000E-3	-1.098666341E-3
4.708333333E-3	-5.767998291E-3
4.729166667E-3	-1.181066317E-2
4.750000000E-3	-1.318399609E-2
4.770833333E-3	-1.498458815E-2
4.791666667E-3	-1.940977203E-2
4.812500000E-3	-1.574755089E-2
4.833333333E-3	-7.721182897E-3
4.854166667E-3	-1.403851436E-2
4.875000000E-3	-2.941984313E-2
4.895833333E-3	-3.033539842E-2
4.916666667E-3	-3.064058351E-2
4.937500000E-3	-4.770043031E-2
4.958333333E-3	-5.829035310E-2
4.979166667E-3	-5.612353893E-2
5.000000000E-3	-6.018250069E-2
5.020833333E-3	-7.049775689E-2
5.041666667E-3	-7.458723716E-2
5.062500000E-3	-7.687612537E-2
5.083333333E-3	-8.246101260E-2
5.104166667E-3	-8.536027100E-2
5.125000000E-3	-8.545182653E-2
5.145833333E-3	-8.847315897E-2
5.166666667E-3	-8.899197363E-2
5.187500000E-3	-8.618427076E-2
5.208333333E-3	-8.447523423E-2
5.229166667E-3	-7.943968017E-2
5.250000000E-3	-7.364116337E-2
5.270833333E-3	-7.095553453E-2
5.291666667E-3	-7.419049654E-2
5.312500000E-3	-7.632679220E-2
5.333333333E-3	-7.794427320E-2
5.354166667E-3	-8.218634602E-2
5.375000000E-3	-8.511612293E-2
5.395833333E-3	-8.423108615E-2
5.416666667E-3	-7.766960662E-2
5.437500000E-3	-7.162694174E-2
5.458333333E-3	-7.119968261E-2
5.479166667E-3	-6.988738670E-2
5.500000000E-3	-6.830042421E-2
5.520833333E-3	-7.107760857E-2
5.541666667E-3	-7.654042177E-2
5.562500000E-3	-7.962279122E-2
5.583333333E-3	-7.278664510E-2
5.604166667E-3	-6.021301920E-2
5.625000000E-3	-5.374309519E-2
5.645833333E-3	-4.910428175E-2
5.666666667E-3	-4.260383923E-2
5.687500000E-3	-3.650013733E-2
5.708333333E-3	-2.987762078E-2
5.729166667E-3	-2.212591937E-2
5.750000000E-3	-1.843317972E-2
5.770833333E-3	-1.538132878E-2
5.791666667E-3	-8.239997559E-3
5.812500000E-3	-1.922666097E-3
5.833333333E-3	3.295999023E-3
5.854166667E-3	9.216589862E-3
5.875000000E-3	1.187170019E-2
5.895833333E-3	1.223792230E-2
5.916666667E-3	1.800592059E-2
5.937500000E-3	2.069154942E-2
5.958333333E-3	1.107821894E-2
5.979166667E-3	9.399700919E-3
6.000000000E-3	2.377391888E-2
6.020833333E-3	3.253273110E-2
6.041666667E-3	2.883999145E-2
6.062500000E-3	3.860591449E-2
6.083333333E-3	5.630664998E-2
6.104166667E-3	5.731376080E-2
6.125000000E-3	5.737479781E-2
6.145833333E-3	6.698812830E-2
6.166666667E-3	7.187108982E-2
6.187500000E-3	7.492294076E-2
6.208333333E-3	8.090456862E-2
6.229166667E-3	8.484145634E-2
6.250000000E-3	8.493301187E-2
6.270833333E-3	8.832056642E-2
6.291666667E-3	9.079256569E-2
6.312500000E-3	8.844264046E-2
6.333333333E-3	8.752708518E-2
6.354166667E-3	8.426160466E-2
6.375000000E-3	7.641834773E-2
6.395833333E-3	7.254249702E-2
6.416666667E-3	7.412945952E-2
6.437500000E-3	7.544175542E-2
6.458333333E-3	7.739494003E-2
6.479166667E-3	8.163701285E-2
6.500000000E-3	8.575701163E-2
6.520833333E-3	8.609271523E-2
6.541666667E-3	8.182012391E-2
6.562500000E-3	7.562486648E-2
