"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	3.817276949E-1
4.687500000E1	2.096360276E0
7.031250000E1	1.367294514E0
9.375000000E1	3.787976676E-1
1.171875000E2	1.246559594E-1
1.406250000E2	1.525216222E-1
1.640625000E2	8.444343687E-2
1.875000000E2	3.353056592E-2
2.109375000E2	1.068045776E-1
2.343750000E2	4.332467489E-2
2.578125000E2	1.450752193E-1
2.812500000E2	1.102364182E-1
3.046875000E2	8.382333204E-2
3.281250000E2	6.339697932E-2
3.515625000E2	5.408521669E-2
3.750000000E2	7.760019318E-2
3.984375000E2	4.263157861E-2
4.218750000E2	3.332218270E-2
4.453125000E2	5.866197224E-2
4.687500000E2	5.765827439E-2
4.921875000E2	4.485478248E-2
5.156250000E2	5.823469423E-2
5.390625000E2	5.616196029E-2
5.625000000E2	4.486121607E-2
5.859375000E2	5.994932985E-2
6.093750000E2	5.039031017E-2
6.328125000E2	6.645798293E-2
6.562500000E2	6.580480847E-2
6.796875000E2	8.535663248E-2
7.031250000E2	7.358356820E-2
7.265625000E2	5.360593902E-2
7.500000000E2	5.909173141E-2
7.734375000E2	7.465162957E-2
7.968750000E2	7.549356562E-2
8.203125000E2	7.242690343E-2
8.437500000E2	6.405362668E-2
8.671875000E2	4.737952801E-2
8.906250000E2	6.252279984E-2
9.140625000E2	6.669498730E-2
9.375000000E2	7.303661415E-2
9.609375000E2	8.410531490E-2
9.843750000E2	6.141408884E-2
1.007812500E3	7.550477138E-2
1.031250000E3	7.549549137E-2
1.054687500E3	6.182808003E-2
1.078125000E3	7.032807202E-2
1.101562500E3	5.801054025E-2
1.125000000E3	6.373599753E-2
1.148437500E3	6.317382041E-2
1.171875000E3	6.929679447E-2
1.195312500E3	7.712564379E-2
1.218750000E3	6.847451203E-2
1.242187500E3	7.630461267E-2
1.265625000E3	5.503841988E-2
1.289062500E3	6.916082160E-2
1.312500000E3	7.910504977E-2
1.335937500E3	7.059301968E-2
1.359375000E3	5.090830025E-2
1.382812500E3	7.486144252E-2
1.406250000E3	7.588571420E-2
1.429687500E3	6.477220689E-2
1.453125000E3	7.706456078E-2
1.476562500E3	7.709315432E-2
1.500000000E3	8.017751637E-2
1.523437500E3	7.163200306E-2
1.546875000E3	7.225316438E-2
1.570312500E3	6.721865685E-2
1.593750000E3	7.030166377E-2
1.617187500E3	8.423543304E-2
1.640625000E3	5.797589753E-2
1.664062500E3	6.177130809E-2
1.687500000E3	7.400901055E-2
1.710937500E3	6.418452822E-2
1.734375000E3	4.456185434E-2
1.757812500E3	5.930812589E-2
1.781250000E3	6.159702492E-2
1.804687500E3	7.277566261E-2
1.828125000E3	7.181076369E-2
1.851562500E3	6.658527915E-2
1.875000000E3	6.816418977E-2
1.898437500E3	5.557788032E-2
1.921875000E3	6.563693032E-2
1.945312500E3	6.679278595E-2
1.968750000E3	6.890978566E-2
1.992187500E3	6.802344953E-2
2.015625000E3	6.068785263E-2
2.039062500E3	6.161715262E-2
2.062500000E3	6.662037880E-2
2.085937500E3	6.552134036E-2
2.109375000E3	6.750028234E-2
2.132812500E3	8.499021903E-2
2.156250000E3	8.052978443E-2
2.179687500E3	7.209487473E-2
2.203125000E3	8.443721609E-2
2.226562500E3	8.024661345E-2
2.250000000E3	8.255905597E-2
2.273437500E3	8.137630269E-2
2.296875000E3	6.158698523E-2
2.320312500E3	8.476069135E-2
2.343750000E3	8.610917687E-2
2.367187500E3	7.240395290E-2
2.390625000E3	7.563254350E-2
2.414062500E3	7.397117903E-2
2.437500000E3	5.823406878E-2
2.460937500E3	7.480996727E-2
2.484375000E3	7.897211964E-2
2.507812500E3	8.050883578E-2
2.531250000E3	7.340854013E-2
