"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
1.298256845E0	9.989565963E2	-3.551278041E-1
1.308257053E0	9.984930894E2	-5.131228510E-1
1.318257262E0	9.984902004E2	-5.141080541E-1
1.328257470E0	9.981147305E2	-6.422023546E-1
1.338257678E0	9.979823304E2	-6.873945851E-1
1.348257887E0	9.979098309E2	-7.121460036E-1
1.358258095E0	9.978899247E2	-7.189426204E-1
1.368258303E0	9.978752145E2	-7.239653347E-1
1.378258512E0	9.977986045E2	-7.501258098E-1
1.388258720E0	9.978950716E2	-7.171852924E-1
1.398258928E0	9.977388302E2	-7.705400572E-1
1.408259137E0	9.980368461E2	-6.687852406E-1
1.418259345E0	9.980812475E2	-6.536299886E-1
1.428259553E0	9.980879671E2	-6.513365560E-1
1.438259762E0	9.981484232E2	-6.307039027E-1
1.448259970E0	9.980628821E2	-6.598983953E-1
1.458260178E0	9.983029834E2	-5.779664523E-1
1.468260387E0	9.983677622E2	-5.558681519E-1
1.478260595E0	9.983683966E2	-5.556517671E-1
1.488260803E0	9.985005889E2	-5.105653154E-1
1.498261012E0	9.984813496E2	-5.171264797E-1
1.508261220E0	9.984872587E2	-5.151112731E-1
1.518261428E0	9.986428419E2	-4.620608355E-1
1.528261637E0	9.985674472E2	-4.877667014E-1
1.538261845E0	9.989937590E2	-3.424665468E-1
1.548262053E0	9.989103296E2	-3.708921017E-1
1.558262262E0	9.981867156E2	-6.176366626E-1
1.568262470E0	9.986314644E2	-4.659397571E-1
1.578262678E0	9.983616016E2	-5.579696230E-1
1.588262887E0	9.981941304E2	-6.151064641E-1
1.598263095E0	9.979849426E2	-6.865028656E-1
1.608263303E0	9.981201104E2	-6.403662663E-1
1.618263512E0	9.977296317E2	-7.736817558E-1
1.628263720E0	9.981627907E2	-6.258008913E-1
1.638263928E0	9.979649160E2	-6.933395677E-1
1.648264137E0	9.985432143E2	-4.960297437E-1
1.658264345E0	9.987649501E2	-4.204362135E-1
1.668264553E0	9.988655814E2	-3.861403626E-1
1.678264762E0	9.991897677E2	-2.757023485E-1
1.688264970E0	9.993119966E2	-2.340821985E-1
1.698265179E0	9.999666483E2	-1.133996053E-2
1.708265387E0	9.995661002E2	-1.475899664E-1
1.718265595E0	9.999684344E2	-1.073265498E-2
1.728265804E0	1.000269929E3	9.175098049E-2
1.738266012E0	1.000355930E3	1.209730167E-1
1.748266220E0	1.000503159E3	1.709879801E-1
1.758266429E0	1.000297663E3	1.011752487E-1
1.768266637E0	1.000506913E3	1.722630368E-1
1.778266845E0	1.000612985E3	2.082872172E-1
1.788267054E0	1.000636177E3	2.161625673E-1
1.798267262E0	1.000577087E3	1.960963835E-1
1.808267470E0	1.000570770E3	1.939511616E-1
1.818267679E0	1.000410920E3	1.396555231E-1
1.828267887E0	1.000571048E3	1.940454305E-1
