"Time (s)"	"Recording (a.u.)"
0.000000000E0	-1.565599536E-2
2.083333333E-5	-2.633747368E-2
4.166666667E-5	-3.717154454E-2
6.250000000E-5	-4.669331950E-2
8.333333333E-5	-5.600146489E-2
1.041666667E-4	-6.436353648E-2
1.250000000E-4	-7.065034944E-2
1.458333333E-4	-7.699819941E-2
1.666666667E-4	-8.117923521E-2
1.875000000E-4	-8.447523423E-2
2.083333333E-4	-8.566545610E-2
2.291666667E-4	-8.661152989E-2
2.500000000E-4	-8.444471572E-2
2.708333333E-4	-8.233893857E-2
2.916666667E-4	-7.797479171E-2
3.125000000E-4	-7.242042299E-2
3.333333333E-4	-6.564531388E-2
3.541666667E-4	-5.798516800E-2
3.750000000E-4	-4.907376324E-2
3.958333333E-4	-3.933835871E-2
4.166666667E-4	-2.893154698E-2
4.375000000E-4	-1.846369823E-2
4.583333333E-4	-6.561479537E-3
4.791666667E-4	4.089480270E-3
5.000000000E-4	1.547288430E-2
5.208333333E-4	2.673421430E-2
5.416666667E-4	3.680532243E-2
5.625000000E-4	4.626606037E-2
5.833333333E-4	5.566576128E-2
6.041666667E-4	6.418042543E-2
6.250000000E-4	7.071138646E-2
6.458333333E-4	7.687612537E-2
6.666666667E-4	8.124027223E-2
6.875000000E-4	8.468886380E-2
7.083333333E-4	8.554338206E-2
7.291666667E-4	8.615375225E-2
7.500000000E-4	8.481093783E-2
7.708333333E-4	8.191167943E-2
7.916666667E-4	7.791375469E-2
8.125000000E-4	7.235938597E-2
8.333333333E-4	6.549272134E-2
8.541666667E-4	5.767998291E-2
8.750000000E-4	4.898220771E-2
8.958333333E-4	3.918576617E-2
9.166666667E-4	2.890102847E-2
9.375000000E-4	1.818903165E-2
9.583333333E-4	6.988738670E-3
9.791666667E-4	-4.242072817E-3
1.000000000E-3	-1.538132878E-2
1.020833333E-3	-2.691732536E-2
1.041666667E-3	-3.692739647E-2
1.062500000E-3	-4.620502335E-2
1.083333333E-3	-5.609302042E-2
1.104166667E-3	-6.439405499E-2
1.125000000E-3	-7.110812708E-2
1.145833333E-3	-7.629627369E-2
1.166666667E-3	-8.124027223E-2
1.187500000E-3	-8.432264168E-2
1.208333333E-3	-8.545182653E-2
1.229166667E-3	-8.587908567E-2
1.250000000E-3	-8.474990081E-2
1.270833333E-3	-8.239997559E-2
1.291666667E-3	-7.831049532E-2
1.312500000E-3	-7.220679342E-2
1.333333333E-3	-6.591998047E-2
1.354166667E-3	-5.813776055E-2
1.375000000E-3	-4.895168920E-2
1.395833333E-3	-3.952146977E-2
1.416666667E-3	-2.951139866E-2
1.437500000E-3	-1.840266121E-2
1.458333333E-3	-7.110812708E-3
1.479166667E-3	4.028443251E-3
1.500000000E-3	1.501510666E-2
1.520833333E-3	2.679525132E-2
1.541666667E-3	3.689687796E-2
1.562500000E-3	4.638813440E-2
1.583333333E-3	5.624561296E-2
1.604166667E-3	6.332590716E-2
1.625000000E-3	7.077242347E-2
1.645833333E-3	7.715079196E-2
1.666666667E-3	8.105716117E-2
1.687500000E-3	8.417004913E-2
1.708333333E-3	8.651997436E-2
1.729166667E-3	8.642841884E-2
1.750000000E-3	8.462782678E-2
1.770833333E-3	8.252204962E-2
1.791666667E-3	7.843256935E-2
1.812500000E-3	7.245094150E-2
1.833333333E-3	6.573686941E-2
1.854166667E-3	5.844294565E-2
1.875000000E-3	4.947050386E-2
1.895833333E-3	3.918576617E-2
1.916666667E-3	2.896206549E-2
1.937500000E-3	1.858577227E-2
1.958333333E-3	7.415997803E-3
1.979166667E-3	-4.455702383E-3
2.000000000E-3	-1.519821772E-2
2.020833333E-3	-2.639851070E-2
2.041666667E-3	-3.668324839E-2
2.062500000E-3	-4.712057863E-2
2.083333333E-3	-5.587939085E-2
2.104166667E-3	-6.411938841E-2
2.125000000E-3	-7.110812708E-2
2.145833333E-3	-7.663197729E-2
2.166666667E-3	-8.166753136E-2
2.187500000E-3	-8.435316019E-2
2.208333333E-3	-8.578753014E-2
2.229166667E-3	-8.645893735E-2
2.250000000E-3	-8.499404889E-2
2.270833333E-3	-8.224738304E-2
2.291666667E-3	-7.821893979E-2
2.312500000E-3	-7.266457106E-2
2.333333333E-3	-6.579790643E-2
2.354166667E-3	-5.804620502E-2
2.375000000E-3	-4.995880001E-2
2.395833333E-3	-3.912472915E-2
2.416666667E-3	-2.932828761E-2
2.437500000E-3	-1.882992035E-2
2.458333333E-3	-7.324442274E-3
2.479166667E-3	4.058961760E-3
2.500000000E-3	1.617481002E-2
2.520833333E-3	2.597125156E-2
2.541666667E-3	3.698843348E-2
2.562500000E-3	4.654072695E-2
2.583333333E-3	5.627613147E-2
2.604166667E-3	6.393627735E-2
2.625000000E-3	7.049775689E-2
2.645833333E-3	7.681508835E-2
2.666666667E-3	8.224738304E-2
2.687500000E-3	8.423108615E-2
2.708333333E-3	8.590960417E-2
2.729166667E-3	8.676412244E-2
2.750000000E-3	8.572649312E-2
2.770833333E-3	8.255256813E-2
2.791666667E-3	7.824945830E-2
2.812500000E-3	7.312234870E-2
2.833333333E-3	6.677449873E-2
2.854166667E-3	5.829035310E-2
2.875000000E-3	4.907376324E-2
2.895833333E-3	4.043702506E-2
2.916666667E-3	2.996917631E-2
2.937500000E-3	1.840266121E-2
2.958333333E-3	7.538071841E-3
2.979166667E-3	-3.692739647E-3
3.000000000E-3	-1.474044008E-2
3.020833333E-3	-2.649006623E-2
3.041666667E-3	-3.646961882E-2
3.062500000E-3	-4.611346782E-2
3.083333333E-3	-5.594042787E-2
3.104166667E-3	-6.396679586E-2
3.125000000E-3	-7.092501602E-2
3.145833333E-3	-7.675405133E-2
3.166666667E-3	-8.130130924E-2
3.187500000E-3	-8.465834529E-2
3.208333333E-3	-8.603167821E-2
3.229166667E-3	-8.658101138E-2
3.250000000E-3	-8.517715995E-2
3.270833333E-3	-8.294930876E-2
3.291666667E-3	-7.858516190E-2
3.312500000E-3	-7.318338572E-2
3.333333333E-3	-6.659138768E-2
3.354166667E-3	-5.868709372E-2
3.375000000E-3	-4.989776299E-2
3.395833333E-3	-4.004028443E-2
3.416666667E-3	-3.003021332E-2
3.437500000E-3	-1.870784631E-2
3.458333333E-3	-7.538071841E-3
3.479166667E-3	3.295999023E-3
3.500000000E-3	1.480147710E-2
3.520833333E-3	2.615436262E-2
3.541666667E-3	3.662221137E-2
3.562500000E-3	4.589983825E-2
3.583333333E-3	5.539109470E-2
3.604166667E-3	6.378368480E-2
3.625000000E-3	7.065034944E-2
3.645833333E-3	7.644886624E-2
3.666666667E-3	8.114871670E-2
3.687500000E-3	8.441419721E-2
3.708333333E-3	8.639790033E-2
3.729166667E-3	8.648945585E-2
3.750000000E-3	8.478041932E-2
3.770833333E-3	8.273567919E-2
3.791666667E-3	7.843256935E-2
3.812500000E-3	7.296975616E-2
3.833333333E-3	6.631672109E-2
3.854166667E-3	5.862605670E-2
3.875000000E-3	4.962309641E-2
3.895833333E-3	4.016235847E-2
3.916666667E-3	2.984710227E-2
3.937500000E-3	1.904354991E-2
3.958333333E-3	7.568590350E-3
3.979166667E-3	-3.387554552E-3
4.000000000E-3	-1.446577349E-2
4.020833333E-3	-2.618488113E-2
4.041666667E-3	-3.628650777E-2
4.062500000E-3	-4.586931974E-2
4.083333333E-3	-5.575731681E-2
4.104166667E-3	-6.344798120E-2
4.125000000E-3	-7.061983093E-2
4.145833333E-3	-7.644886624E-2
4.166666667E-3	-8.105716117E-2
4.187500000E-3	-8.435316019E-2
4.208333333E-3	-8.569597461E-2
4.229166667E-3	-8.624530778E-2
4.250000000E-3	-8.499404889E-2
4.270833333E-3	-8.197271645E-2
4.291666667E-3	-7.812738426E-2
4.312500000E-3	-7.327494125E-2
4.333333333E-3	-6.607257302E-2
4.354166667E-3	-5.841242714E-2
4.375000000E-3	-4.998931852E-2
4.395833333E-3	-3.982665487E-2
4.416666667E-3	-2.981658376E-2
4.437500000E-3	-1.864680929E-2
4.458333333E-3	-7.293923765E-3
4.479166667E-3	3.692739647E-3
4.500000000E-3	1.437421796E-2
4.520833333E-3	2.621539964E-2
4.541666667E-3	3.598132267E-2
4.562500000E-3	4.611346782E-2
4.583333333E-3	5.493331706E-2
4.604166667E-3	6.384472182E-2
4.625000000E-3	7.028412732E-2
4.645833333E-3	7.586901456E-2
4.666666667E-3	8.050782800E-2
4.687500000E-3	8.371227149E-2
4.708333333E-3	8.575701163E-2
4.729166667E-3	8.590960417E-2
4.750000000E-3	8.465834529E-2
4.770833333E-3	8.221686453E-2
4.791666667E-3	7.831049532E-2
4.812500000E-3	7.202368236E-2
4.833333333E-3	6.604205451E-2
4.854166667E-3	5.798516800E-2
4.875000000E-3	4.974517045E-2
4.895833333E-3	3.939939573E-2
4.916666667E-3	2.890102847E-2
4.937500000E-3	1.886043886E-2
4.958333333E-3	6.988738670E-3
4.979166667E-3	-4.211554308E-3
5.000000000E-3	-1.507614368E-2
5.020833333E-3	-2.575762200E-2
5.041666667E-3	-3.662221137E-2
5.062500000E-3	-4.660176397E-2
5.083333333E-3	-5.508590960E-2
5.104166667E-3	-6.350901822E-2
5.125000000E-3	-7.049775689E-2
5.145833333E-3	-7.629627369E-2
5.166666667E-3	-8.066042055E-2
5.187500000E-3	-8.413953063E-2
5.208333333E-3	-8.505508591E-2
5.229166667E-3	-8.630634480E-2
5.250000000E-3	-8.493301187E-2
5.270833333E-3	-8.166753136E-2
5.291666667E-3	-7.812738426E-2
5.312500000E-3	-7.245094150E-2
5.333333333E-3	-6.582842494E-2
5.354166667E-3	-5.810724204E-2
5.375000000E-3	-4.931791131E-2
5.395833333E-3	-3.927732170E-2
5.416666667E-3	-2.960295419E-2
5.437500000E-3	-1.904354991E-2
5.458333333E-3	-7.263405255E-3
5.479166667E-3	4.272591327E-3
5.500000000E-3	1.480147710E-2
5.520833333E-3	2.600177007E-2
5.541666667E-3	3.720206305E-2
5.562500000E-3	4.657124546E-2
5.583333333E-3	5.578783532E-2
5.604166667E-3	6.372264779E-2
5.625000000E-3	7.199316385E-2
5.645833333E-3	7.681508835E-2
5.666666667E-3	8.114871670E-2
5.687500000E-3	8.502456740E-2
5.708333333E-3	8.594012268E-2
5.729166667E-3	8.618427076E-2
5.750000000E-3	8.523819697E-2
5.770833333E-3	8.236945708E-2
5.791666667E-3	7.861568041E-2
5.812500000E-3	7.345805231E-2
5.833333333E-3	6.616412854E-2
5.854166667E-3	5.868709372E-2
5.875000000E-3	4.995880001E-2
5.895833333E-3	3.994872890E-2
5.916666667E-3	2.945036164E-2
5.937500000E-3	1.907406842E-2
5.958333333E-3	7.873775445E-3
5.979166667E-3	-3.814813684E-3
6.000000000E-3	-1.516769921E-2
6.020833333E-3	-2.560502945E-2
6.041666667E-3	-3.680532243E-2
6.062500000E-3	-4.669331950E-2
6.083333333E-3	-5.563524277E-2
6.104166667E-3	-6.335642567E-2
6.125000000E-3	-7.159642323E-2
6.145833333E-3	-7.675405133E-2
6.166666667E-3	-8.136234626E-2
6.187500000E-3	-8.502456740E-2
6.208333333E-3	-8.615375225E-2
6.229166667E-3	-8.703878903E-2
6.250000000E-3	-8.490249336E-2
6.270833333E-3	-8.252204962E-2
6.291666667E-3	-7.901242103E-2
6.312500000E-3	-7.296975616E-2
6.333333333E-3	-6.634723960E-2
6.354166667E-3	-5.844294565E-2
6.375000000E-3	-4.953154088E-2
6.395833333E-3	-4.040650655E-2
6.416666667E-3	-2.887050996E-2
6.437500000E-3	-1.910458693E-2
6.458333333E-3	-7.202368236E-3
6.479166667E-3	3.326517533E-3
6.500000000E-3	1.541184729E-2
6.520833333E-3	2.639851070E-2
6.541666667E-3	3.659169286E-2
6.562500000E-3	4.681539354E-2
6.583333333E-3	5.600146489E-2
6.604166667E-3	6.366161077E-2
6.625000000E-3	7.101657155E-2
6.645833333E-3	7.724234748E-2
6.666666667E-3	8.127079073E-2
6.687500000E-3	8.487197485E-2
6.708333333E-3	8.633686331E-2
6.729166667E-3	8.706930754E-2
6.750000000E-3	8.542130802E-2
6.770833333E-3	8.258308664E-2
6.791666667E-3	7.867671743E-2
6.812500000E-3	7.336649678E-2
6.833333333E-3	6.598101749E-2
6.854166667E-3	5.887020478E-2
6.875000000E-3	4.974517045E-2
6.895833333E-3	4.028443251E-2
6.916666667E-3	2.993865780E-2
6.937500000E-3	1.889095737E-2
6.958333333E-3	7.904293954E-3
6.979166667E-3	-3.631702628E-3
7.000000000E-3	-1.467940306E-2
7.020833333E-3	-2.597125156E-2
7.041666667E-3	-3.631702628E-2
7.062500000E-3	-4.663228248E-2
7.083333333E-3	-5.526902066E-2
7.104166667E-3	-6.430249947E-2
7.125000000E-3	-7.061983093E-2
7.145833333E-3	-7.641834773E-2
7.166666667E-3	-8.139286477E-2
7.187500000E-3	-8.395641957E-2
7.208333333E-3	-8.630634480E-2
7.229166667E-3	-8.606219672E-2
7.250000000E-3	-8.569597461E-2
7.270833333E-3	-8.227790155E-2
7.291666667E-3	-7.834101382E-2
7.312500000E-3	-7.348857082E-2
7.333333333E-3	-6.564531388E-2
7.354166667E-3	-5.829035310E-2
7.375000000E-3	-4.959257790E-2
7.395833333E-3	-3.988769189E-2
7.416666667E-3	-2.957243568E-2
7.437500000E-3	-1.770073550E-2
7.458333333E-3	-7.049775689E-3
7.479166667E-3	4.089480270E-3
7.500000000E-3	1.547288430E-2
7.520833333E-3	2.658162175E-2
7.541666667E-3	3.683584094E-2
7.562500000E-3	4.666280099E-2
7.583333333E-3	5.566576128E-2
7.604166667E-3	6.463820307E-2
7.625000000E-3	7.086397900E-2
7.645833333E-3	7.687612537E-2
7.666666667E-3	8.136234626E-2
7.687500000E-3	8.462782678E-2
7.708333333E-3	8.621478927E-2
7.729166667E-3	8.661152989E-2
7.750000000E-3	8.526871548E-2
7.770833333E-3	8.273567919E-2
7.791666667E-3	7.797479171E-2
7.812500000E-3	7.318338572E-2
7.833333333E-3	6.637775811E-2
7.854166667E-3	5.774101993E-2
7.875000000E-3	4.956205939E-2
7.895833333E-3	3.927732170E-2
7.916666667E-3	2.932828761E-2
7.937500000E-3	1.821955016E-2
