"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
1.282603961E0	1.000898578E3	3.052420939E-1
1.302604378E0	1.001140097E3	3.871916737E-1
1.322604794E0	1.001435453E3	4.873545643E-1
1.342605211E0	1.002208658E3	7.492888616E-1
1.362605628E0	1.002638365E3	8.946836057E-1
1.382606044E0	1.002636090E3	8.939142863E-1
1.402606461E0	1.002097283E3	7.115837063E-1
1.422606878E0	1.001585609E3	5.382536581E-1
1.442607294E0	1.001126909E3	3.827177386E-1
1.462607711E0	1.000234104E3	7.957662552E-2
1.482608128E0	1.000207163E3	7.042095672E-2
1.502608544E0	1.000085878E3	2.919589551E-2
1.522608961E0	1.000134217E3	4.562771021E-2
1.542609378E0	1.000783068E3	2.660349576E-1
1.562609794E0	1.000753612E3	2.560350939E-1
1.582610211E0	1.000197679E3	6.719760685E-2
1.602610628E0	9.997302308E2	-9.174626937E-2
1.622611044E0	9.994131313E2	-1.996525303E-1
1.642611461E0	9.992254708E2	-2.635440665E-1
1.662611878E0	9.990392818E2	-3.269583089E-1
1.682612295E0	9.989780631E2	-3.478139995E-1
1.702612711E0	9.989100464E2	-3.709885821E-1
1.722613128E0	9.988171457E2	-4.026467334E-1
1.742613545E0	9.987207465E2	-4.355033042E-1
1.762613961E0	9.986013090E2	-4.762210107E-1
1.782614378E0	9.984957140E2	-5.122277614E-1
1.802614795E0	9.983773012E2	-5.526143095E-1
1.822615211E0	9.982767848E2	-5.869045168E-1
1.842615628E0	9.981773840E2	-6.208209616E-1
1.862616045E0	9.981404382E2	-6.334289256E-1
1.882616461E0	9.981557799E2	-6.281933512E-1
1.902616878E0	9.981251453E2	-6.386479661E-1
1.922617295E0	9.982459106E2	-5.974383712E-1
1.942617711E0	9.983446895E2	-5.637387310E-1
1.962618128E0	9.984845785E2	-5.160253131E-1
1.983767653E0	9.986228667E2	-4.688710286E-1
2.003768070E0	9.987700145E2	-4.187100921E-1
2.023768486E0	9.989050135E2	-3.727035233E-1
2.043768903E0	9.991784761E2	-2.795477708E-1
2.063769320E0	9.996620699E2	-1.149350758E-1
2.083769736E0	1.000448849E3	1.525400881E-1
2.103770153E0	1.000975066E3	3.311996003E-1
2.123770570E0	1.000836219E3	2.840769793E-1
2.143770986E0	1.000359360E3	1.221385334E-1
2.163771403E0	9.999591337E2	-1.389510376E-2
2.183771820E0	9.994763581E2	-1.781315306E-1
2.203772236E0	9.991979550E2	-2.729142037E-1
2.223772653E0	9.990766208E2	-3.142390775E-1
2.243773070E0	9.989275185E2	-3.650352114E-1
2.263773486E0	9.986292254E2	-4.667031144E-1
2.283773903E0	9.980631263E2	-6.598150271E-1
2.303774320E0	9.975601095E2	-8.315917521E-1
2.323774736E0	9.971902844E2	-9.579949940E-1
2.343775153E0	9.974982249E2	-8.527369022E-1
2.363775570E0	9.975815580E2	-8.242637203E-1
2.383775987E0	9.978622608E2	-7.283884390E-1
2.403776403E0	9.981840502E2	-6.185461709E-1
2.423776820E0	9.986544439E2	-4.581054707E-1
2.443777237E0	9.989749174E2	-3.488857267E-1
2.463777653E0	9.991899293E2	-2.756473385E-1
