"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	1.272603223E0
4.687500000E1	1.257883935E0
7.031250000E1	1.506097766E0
9.375000000E1	1.369721163E0
1.171875000E2	1.358467101E0
1.406250000E2	1.539988461E0
1.640625000E2	1.458430839E0
1.875000000E2	1.625905057E0
2.109375000E2	1.563793124E0
2.343750000E2	1.823682027E0
2.578125000E2	1.815777703E0
2.812500000E2	2.273117755E0
3.046875000E2	2.629529982E0
3.281250000E2	3.036925340E0
3.515625000E2	3.458856843E0
3.750000000E2	5.053250581E0
3.984375000E2	7.293438734E0
4.218750000E2	1.644215182E1
4.453125000E2	5.494949759E1
4.687500000E2	9.725170026E0
4.921875000E2	5.253982079E0
5.156250000E2	3.603950073E0
5.390625000E2	2.675944654E0
5.625000000E2	2.183603273E0
5.859375000E2	1.772042761E0
6.093750000E2	1.431896116E0
6.328125000E2	1.190732242E0
6.562500000E2	1.084605987E0
6.796875000E2	9.499980357E-1
7.031250000E2	8.453269728E-1
7.265625000E2	7.159664956E-1
7.500000000E2	6.003248614E-1
7.734375000E2	6.220229697E-1
7.968750000E2	6.107989019E-1
8.203125000E2	4.773074225E-1
8.437500000E2	4.423767196E-1
8.671875000E2	4.010167616E-1
8.906250000E2	4.274303214E-1
9.140625000E2	4.191162959E-1
9.375000000E2	3.705833195E-1
9.609375000E2	3.146275676E-1
9.843750000E2	3.064555430E-1
1.007812500E3	2.852839971E-1
1.031250000E3	2.599396354E-1
1.054687500E3	2.637871511E-1
1.078125000E3	2.306891271E-1
1.101562500E3	2.152265132E-1
1.125000000E3	1.792128895E-1
1.148437500E3	1.400172247E-1
1.171875000E3	2.255651191E-1
1.195312500E3	1.700602169E-1
1.218750000E3	1.721021785E-1
1.242187500E3	1.397307059E-1
1.265625000E3	7.964393389E-2
1.289062500E3	1.671067331E-1
1.312500000E3	1.119519244E0
1.335937500E3	7.536144088E-1
1.359375000E3	3.562586198E-1
1.382812500E3	2.930709820E-1
1.406250000E3	2.738697636E-1
1.429687500E3	1.945233391E-1
1.453125000E3	2.100818928E-1
1.476562500E3	1.924865938E-1
1.500000000E3	2.677112457E-1
1.523437500E3	1.351597946E-1
1.546875000E3	1.559201969E-1
1.570312500E3	1.265789883E-1
1.593750000E3	1.357474762E-1
1.617187500E3	1.448383453E-1
1.640625000E3	1.412787899E-1
1.664062500E3	1.212629843E-1
1.687500000E3	1.298338928E-1
1.710937500E3	1.141293379E-1
1.734375000E3	1.297115710E-1
1.757812500E3	1.126031508E-1
1.781250000E3	1.079898889E-1
1.804687500E3	1.018109740E-1
1.828125000E3	1.022000635E-1
1.851562500E3	1.137969420E-1
1.875000000E3	1.013565477E-1
1.898437500E3	1.050729123E-1
1.921875000E3	9.617868119E-2
1.945312500E3	8.939142720E-2
1.968750000E3	9.418620462E-2
1.992187500E3	1.082947895E-1
2.015625000E3	1.005196381E-1
2.039062500E3	9.371416907E-2
2.062500000E3	8.491229739E-2
2.085937500E3	8.005356739E-2
2.109375000E3	1.033568335E-1
2.132812500E3	7.896428842E-2
2.156250000E3	9.432919235E-2
2.179687500E3	1.091098483E-1
2.203125000E3	1.858784919E-1
2.226562500E3	5.493727839E-2
2.250000000E3	6.350474234E-2
2.273437500E3	4.451576830E-2
2.296875000E3	3.884491102E-2
2.320312500E3	6.549352244E-2
2.343750000E3	7.217837691E-2
2.367187500E3	7.467750315E-2
2.390625000E3	6.999782198E-2
2.414062500E3	5.819755382E-2
2.437500000E3	6.811115957E-2
2.460937500E3	7.968508196E-2
2.484375000E3	4.766705685E-2
2.507812500E3	6.588078479E-2
2.531250000E3	4.141430855E-2
2.554687500E3	3.944455506E-2
2.578125000E3	6.177445547E-2
2.601562500E3	6.193590720E-2
2.625000000E3	6.606444429E-2
2.648437500E3	5.862930309E-2
2.671875000E3	3.537801188E-2
2.695312500E3	3.253242819E-2
2.718750000E3	3.617868544E-2
2.742187500E3	6.385703979E-2
2.765625000E3	5.667257197E-2
2.789062500E3	3.780538770E-2
2.812500000E3	4.401950425E-2
2.835937500E3	6.045905915E-2
2.859375000E3	5.159215751E-2
2.882812500E3	3.489796863E-2
2.906250000E3	4.975528427E-2
2.929687500E3	2.648198837E-2
2.953125000E3	4.967936696E-2
2.976562500E3	3.709377287E-2
3.000000000E3	4.715822780E-2
3.023437500E3	4.847591718E-2
3.046875000E3	3.643525199E-2
3.070312500E3	6.795147693E-2
3.093750000E3	2.103331432E-2
3.117187500E3	4.698998718E-2
3.140625000E3	2.704508129E-2
3.164062500E3	3.913538303E-2
3.187500000E3	3.612335511E-2
3.210937500E3	4.966216584E-2
3.234375000E3	4.622309363E-2
3.257812500E3	3.456341388E-2
3.281250000E3	2.942355634E-2
3.304687500E3	3.017523655E-2
3.328125000E3	3.931027581E-2
3.351562500E3	2.582073631E-2
3.375000000E3	3.589153759E-2
3.398437500E3	2.626761607E-2
3.421875000E3	3.783255154E-2
3.445312500E3	3.878973588E-2
3.468750000E3	4.558279332E-2
3.492187500E3	4.056924750E-2
3.515625000E3	3.098218248E-2
3.539062500E3	3.646790950E-2
3.562500000E3	5.016768793E-2
3.585937500E3	2.360405187E-2
3.609375000E3	2.935289919E-2
3.632812500E3	3.304229129E-2
3.656250000E3	3.054954809E-2
3.679687500E3	4.487421249E-2
3.703125000E3	3.246249224E-2
3.726562500E3	4.120348227E-2
3.750000000E3	3.695493715E-2
3.773437500E3	4.311319859E-2
3.796875000E3	6.272228904E-2
3.820312500E3	1.493265780E-2
3.843750000E3	2.167747179E-2
3.867187500E3	2.514536054E-2
3.890625000E3	2.837405530E-2
3.914062500E3	1.873135734E-2
3.937500000E3	2.267653104E-2
3.960937500E3	2.064460022E-2
3.984375000E3	3.817842485E-2
4.007812500E3	3.629516068E-2
4.031250000E3	1.224123970E-2
4.054687500E3	1.526730797E-2
4.078125000E3	2.577789269E-2
4.101562500E3	3.021256812E-2
4.125000000E3	3.674358706E-2
4.148437500E3	2.474935187E-2
4.171875000E3	1.708705709E-2
4.195312500E3	2.825713272E-2
4.218750000E3	3.789749596E-2
4.242187500E3	1.801230775E-2
4.265625000E3	2.301320902E-2
4.289062500E3	2.420314253E-2
4.312500000E3	3.789348439E-2
4.335937500E3	1.577736596E-2
4.359375000E3	2.423088009E-2
4.382812500E3	3.353293937E-2
4.406250000E3	2.956796216E-2
4.429687500E3	3.008525804E-2
4.453125000E3	2.376728352E-2
4.476562500E3	2.727866421E-2
4.500000000E3	2.291709225E-2
4.523437500E3	3.056750377E-2
4.546875000E3	1.292053092E-2
4.570312500E3	3.486839907E-2
4.593750000E3	2.024844040E-2
4.617187500E3	2.193221841E-2
4.640625000E3	1.788084017E-2
4.664062500E3	2.257201186E-2
4.687500000E3	2.505029257E-2
4.710937500E3	1.951293557E-2
4.734375000E3	2.231413130E-2
4.757812500E3	1.826443094E-2
4.781250000E3	2.393122098E-2
4.804687500E3	1.554838200E-2
4.828125000E3	2.822724109E-2
4.851562500E3	2.984877392E-2
4.875000000E3	1.501749532E-2
4.898437500E3	1.798377473E-2
4.921875000E3	2.012527821E-2
4.945312500E3	2.034926003E-2
4.968750000E3	2.118316245E-2
4.992187500E3	1.514672765E-2
5.015625000E3	1.720330871E-2
5.039062500E3	2.902411664E-2
5.062500000E3	2.454109071E-2
5.085937500E3	2.323444788E-2
5.109375000E3	2.230408086E-2
5.132812500E3	2.049875499E-2
5.156250000E3	2.178206516E-2
5.179687500E3	1.191172498E-2
5.203125000E3	1.142075425E-2
5.226562500E3	1.038204952E-2
5.250000000E3	1.517460128E-2
5.273437500E3	3.066229026E-2
5.296875000E3	2.620236920E-2
5.320312500E3	2.744948179E-2
5.343750000E3	2.187777745E-2
5.367187500E3	1.933721351E-2
5.390625000E3	2.434405908E-2
5.414062500E3	1.696679641E-2
5.437500000E3	2.919729423E-2
5.460937500E3	1.541277806E-2
5.484375000E3	1.580673272E-2
5.507812500E3	1.680894490E-2
5.531250000E3	2.209275017E-2
5.554687500E3	1.614519278E-2
5.578125000E3	1.503698716E-2
5.601562500E3	1.332965411E-2
5.625000000E3	1.796741830E-2
5.648437500E3	1.409738271E-2
5.671875000E3	3.590941497E-2
5.695312500E3	1.690350748E-2
5.718750000E3	9.908767233E-3
5.742187500E3	1.922820482E-2
5.765625000E3	2.294542319E-2
5.789062500E3	1.638754465E-2
5.812500000E3	2.632262286E-2
5.835937500E3	2.023371017E-2
5.859375000E3	1.884904940E-2
5.882812500E3	3.577808228E-3
5.906250000E3	1.512559019E-2
5.929687500E3	2.614817186E-2
5.953125000E3	2.486837172E-2
5.976562500E3	1.820986537E-2
6.000000000E3	1.421475568E-2
6.023437500E3	2.886986397E-2
6.046875000E3	2.499065983E-2
6.070312500E3	7.533128640E-3
6.093750000E3	2.075164566E-2
6.117187500E3	1.566276993E-2
6.140625000E3	1.524023678E-2
6.164062500E3	2.208027315E-2
6.187500000E3	1.381466279E-2
6.210937500E3	3.089622795E-2
6.234375000E3	1.557465212E-2
6.257812500E3	2.283729248E-2
6.281250000E3	5.153415473E-3
6.304687500E3	4.300054852E-3
6.328125000E3	2.186798057E-2
6.351562500E3	3.203891415E-2
6.375000000E3	1.924649535E-2
6.398437500E3	1.318945545E-2
6.421875000E3	8.995524677E-3
6.445312500E3	2.773100716E-2
6.468750000E3	2.609251292E-2
6.492187500E3	2.730086015E-2
6.515625000E3	2.983129513E-2
6.539062500E3	3.175022864E-2
6.562500000E3	1.867587840E-2
6.585937500E3	8.078886699E-2
6.609375000E3	7.766054024E-2
6.632812500E3	1.218243049E-2
6.656250000E3	2.639987573E-2
6.679687500E3	1.632096699E-2
6.703125000E3	6.977208281E-3
6.726562500E3	1.501111406E-2
6.750000000E3	1.039459671E-2
6.773437500E3	7.407221489E-3
6.796875000E3	3.477041877E-2
6.820312500E3	1.744348358E-2
6.843750000E3	2.786311548E-2
6.867187500E3	2.020832908E-2
6.890625000E3	9.217959773E-3
6.914062500E3	1.967090885E-2
6.937500000E3	1.241654461E-2
6.960937500E3	1.701210347E-2
