"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
1.178178307E0	1.000127850E3	4.346338796E-2
1.228179349E0	1.000007790E3	2.648553089E-3
1.278180390E0	1.000072260E3	2.456678035E-2
1.328181432E0	9.999175659E2	-2.802989880E-2
1.378182474E0	9.997810955E2	-7.444381260E-2
1.428183515E0	9.998698963E2	-4.424100043E-2
1.478184557E0	9.998800139E2	-4.080017765E-2
1.528185599E0	9.999125019E2	-2.975196711E-2
1.578186641E0	9.998690042E2	-4.454439291E-2
1.628187682E0	9.998877506E2	-3.816908468E-2
1.678188724E0	9.998838611E2	-3.949182856E-2
1.728189766E0	9.999175897E2	-2.802181365E-2
1.873735460E0	1.000072234E3	2.455782418E-2
1.923736502E0	9.999930131E2	-2.375575159E-3
1.973737543E0	1.000026243E3	8.922247450E-3
2.023738585E0	1.000132782E3	4.513978031E-2
2.073739627E0	1.000182274E3	6.196179530E-2
2.123740668E0	1.000113315E3	3.852273369E-2
2.173741710E0	1.000021071E3	7.164007369E-3
2.223742752E0	9.999058084E2	-3.202816378E-2
2.273743794E0	1.000182291E3	6.196773455E-2
2.323744835E0	1.000251220E3	8.539337472E-2
2.373745877E0	1.000413702E3	1.406005232E-1
2.423746919E0	1.000418256E3	1.421475472E-1
2.473747960E0	1.000160072E3	5.441582207E-2
2.523749002E0	1.000231662E3	7.874675109E-2
2.571277729E0	1.000523136E3	1.777733216E-1
2.621278771E0	1.000626244E3	2.127898553E-1
2.671279812E0	1.000675454E3	2.294993176E-1
2.721280854E0	1.000620279E3	2.107642364E-1
2.771281896E0	1.000393164E3	1.336232849E-1
2.821282937E0	1.000251405E3	8.545628795E-2
2.871283979E0	1.000220363E3	7.490675796E-2
2.921285021E0	1.000095535E3	3.247891449E-2
2.971286063E0	1.000052080E3	1.770614653E-2
3.021287104E0	9.998378844E2	-5.512825021E-2
3.071288146E0	9.997919468E2	-7.075280421E-2
3.121289188E0	9.999882663E2	-3.989514727E-3
3.171290229E0	9.994459365E2	-1.884860103E-1
3.221291271E0	9.997985173E2	-6.851791207E-2
3.273417651E0	9.995894281E2	-1.396517701E-1
3.323418693E0	9.976194805E2	-8.113079644E-1
3.373419734E0	9.965649276E2	-1.171950357E0
3.423420776E0	9.983032097E2	-5.778892735E-1
3.473421818E0	9.981832584E2	-6.188163896E-1
3.523422859E0	9.965785484E2	-1.167287357E0
3.573423901E0	9.978274580E2	-7.402725677E-1
3.623424943E0	9.986227991E2	-4.688940739E-1
3.673425985E0	9.991161167E2	-3.007861933E-1
3.723427026E0	9.980032333E2	-6.802589864E-1
3.773428068E0	9.978015288E2	-7.491271533E-1
3.823429110E0	9.920800224E2	-2.714289501E0
3.873430151E0	9.997227706E2	-9.428413819E-2
3.923431193E0	9.984030523E2	-5.438306967E-1
3.974995035E0	9.968876980E2	-1.061486329E0
4.024996077E0	9.980000196E2	-6.813560333E-1
4.074997118E0	9.993972255E2	-2.050669524E-1
4.124998160E0	9.989195494E2	-3.677505568E-1
4.174999202E0	9.935657461E2	-2.201813367E0
4.225000243E0	9.978042960E2	-7.481821488E-1
4.275001285E0	9.982746710E2	-5.876256990E-1
4.325002327E0	1.000385126E3	1.308924601E-1
4.375003369E0	9.999842884E2	-5.342032831E-3
4.425004410E0	9.983122561E2	-5.748030492E-1
4.475005452E0	9.966353469E2	-1.147844159E0
4.525006494E0	9.979844306E2	-6.866776375E-1
4.575007535E0	9.994187832E2	-1.977286200E-1
4.625008577E0	1.000468373E3	1.591724133E-1
4.673237342E0	9.981522570E2	-6.293955885E-1
4.723238384E0	1.006127707E3	2.070731610E0
4.773239425E0	9.972222040E2	-9.470814229E-1
4.823240467E0	9.983954977E2	-5.464074959E-1
4.873241509E0	1.001316514E3	4.470263447E-1
4.923242550E0	9.976687894E2	-7.944636580E-1
4.973243592E0	9.944493292E2	-1.897761939E0
5.023244634E0	9.981118880E2	-6.431724555E-1
5.073245676E0	9.976885608E2	-7.877100738E-1
5.123246717E0	9.991944342E2	-2.741131769E-1
5.173247759E0	1.000351296E3	1.193986158E-1
5.223248801E0	1.001143804E3	3.884489760E-1
5.273249842E0	1.001824788E3	6.192978234E-1
