"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	4.318145637E-1
4.687500000E1	4.316347987E-1
7.031250000E1	5.971783097E-1
9.375000000E1	5.786216054E-1
1.171875000E2	5.826711654E-1
1.406250000E2	5.670412975E-1
1.640625000E2	5.588818009E-1
1.875000000E2	6.057623143E-1
2.109375000E2	5.321801156E-1
2.343750000E2	5.362435853E-1
2.578125000E2	5.735613183E-1
2.812500000E2	6.560017434E-1
3.046875000E2	6.248137862E-1
3.281250000E2	5.964995782E-1
3.515625000E2	6.577021020E-1
3.750000000E2	6.921731092E-1
3.984375000E2	6.956623849E-1
4.218750000E2	6.821600035E-1
4.453125000E2	7.336921715E-1
4.687500000E2	7.595911478E-1
4.921875000E2	8.138558723E-1
5.156250000E2	8.503810302E-1
5.390625000E2	8.518784261E-1
5.625000000E2	8.080300284E-1
5.859375000E2	1.021097156E0
6.093750000E2	1.047320146E0
6.328125000E2	1.110547471E0
6.562500000E2	1.143765400E0
6.796875000E2	1.153857436E0
7.031250000E2	1.242800073E0
7.265625000E2	1.336238402E0
7.500000000E2	1.688204148E0
7.734375000E2	1.790155249E0
7.968750000E2	2.033729105E0
8.203125000E2	2.184064815E0
8.437500000E2	2.504143121E0
8.671875000E2	2.946644250E0
8.906250000E2	3.682792899E0
9.140625000E2	4.641028583E0
9.375000000E2	6.326821799E0
9.609375000E2	1.000769600E1
9.843750000E2	2.517463046E1
1.007812500E3	4.972910644E1
1.031250000E3	1.246602971E1
1.054687500E3	7.210763992E0
1.078125000E3	4.993504909E0
1.101562500E3	3.854895048E0
1.125000000E3	3.235977582E0
1.148437500E3	2.654275866E0
1.171875000E3	2.310669079E0
1.195312500E3	2.114068990E0
1.218750000E3	1.829556610E0
1.242187500E3	1.615012598E0
1.265625000E3	1.568312441E0
1.289062500E3	1.365670778E0
1.312500000E3	1.328814531E0
1.335937500E3	1.215823685E0
1.359375000E3	1.130152797E0
1.382812500E3	9.958009758E-1
1.406250000E3	9.456932837E-1
1.429687500E3	9.121818326E-1
1.453125000E3	8.995769407E-1
1.476562500E3	8.461489871E-1
1.500000000E3	8.311044360E-1
1.523437500E3	7.809766753E-1
1.546875000E3	7.644469271E-1
1.570312500E3	7.291776359E-1
1.593750000E3	7.083392556E-1
1.617187500E3	6.570885219E-1
1.640625000E3	6.439604288E-1
1.664062500E3	6.207870757E-1
1.687500000E3	6.201290813E-1
1.710937500E3	5.817170024E-1
1.734375000E3	5.666288836E-1
1.757812500E3	5.320693608E-1
1.781250000E3	5.269179527E-1
1.804687500E3	5.197844520E-1
1.828125000E3	4.991205474E-1
1.851562500E3	4.859697414E-1
1.875000000E3	4.674551712E-1
1.898437500E3	4.523476154E-1
1.921875000E3	4.597930849E-1
1.945312500E3	4.647957091E-1
1.968750000E3	4.308772625E-1
1.992187500E3	4.083959003E-1
2.015625000E3	4.008078180E-1
2.039062500E3	4.094481551E-1
2.062500000E3	4.036776114E-1
2.085937500E3	3.962194889E-1
2.109375000E3	3.730187462E-1
2.132812500E3	3.800652340E-1
2.156250000E3	3.710529788E-1
2.179687500E3	3.644926904E-1
2.203125000E3	3.559825269E-1
2.226562500E3	3.649269585E-1
2.250000000E3	3.401696139E-1
2.273437500E3	3.316079056E-1
2.296875000E3	3.334738542E-1
2.320312500E3	3.306509874E-1
2.343750000E3	3.304884280E-1
2.367187500E3	3.233024431E-1
2.390625000E3	3.167820049E-1
2.414062500E3	2.948577441E-1
2.437500000E3	3.133244021E-1
2.460937500E3	3.046700768E-1
2.484375000E3	2.933062980E-1
2.507812500E3	2.837539815E-1
2.531250000E3	2.794737563E-1
2.554687500E3	2.896808023E-1
2.578125000E3	2.720623940E-1
2.601562500E3	2.754615251E-1
2.625000000E3	2.695217831E-1
2.648437500E3	2.479528004E-1
2.671875000E3	3.020379180E-1
2.695312500E3	2.654023516E-1
2.718750000E3	2.443909078E-1
2.742187500E3	2.562888666E-1
2.765625000E3	2.786589153E-1
2.789062500E3	2.704492536E-1
2.812500000E3	2.754339314E-1
2.835937500E3	2.562549409E-1
2.859375000E3	2.000643263E-1
2.882812500E3	2.386805134E-1
2.906250000E3	2.154910875E-1
2.929687500E3	2.764529234E-1
2.953125000E3	2.665975556E-1
2.976562500E3	2.338107094E-1
3.000000000E3	1.139332240E0
3.023437500E3	2.100762136E-1
3.046875000E3	2.591135847E-1
3.070312500E3	1.949042873E-1
3.093750000E3	2.058784084E-1
3.117187500E3	2.071112781E-1
3.140625000E3	2.257917297E-1
3.164062500E3	1.975570651E-1
3.187500000E3	2.812355208E-1
3.210937500E3	2.402371424E-1
3.234375000E3	1.817104137E-1
3.257812500E3	2.017796561E-1
3.281250000E3	2.427730546E-1
3.304687500E3	1.954321811E-1
3.328125000E3	1.944410398E-1
3.351562500E3	2.054330966E-1
3.375000000E3	1.865877212E-1
3.398437500E3	1.831704934E-1
3.421875000E3	1.955560012E-1
3.445312500E3	1.964904419E-1
3.468750000E3	1.876537474E-1
3.492187500E3	1.967720892E-1
3.515625000E3	2.031626794E-1
3.539062500E3	1.765551592E-1
3.562500000E3	1.890788699E-1
3.585937500E3	1.886727089E-1
3.609375000E3	1.806022146E-1
3.632812500E3	1.788526565E-1
3.656250000E3	1.899348928E-1
3.679687500E3	1.883893894E-1
3.703125000E3	1.794565379E-1
3.726562500E3	1.661661312E-1
3.750000000E3	1.677770605E-1
3.773437500E3	1.660491489E-1
3.796875000E3	1.647081987E-1
3.820312500E3	1.833867993E-1
3.843750000E3	1.535377996E-1
3.867187500E3	1.658839949E-1
3.890625000E3	1.740828587E-1
3.914062500E3	1.630386429E-1
3.937500000E3	1.663899730E-1
3.960937500E3	1.656533144E-1
3.984375000E3	1.660156779E-1
4.007812500E3	1.579412239E-1
4.031250000E3	1.666230490E-1
4.054687500E3	1.700949866E-1
4.078125000E3	1.489608204E-1
4.101562500E3	1.647478569E-1
4.125000000E3	1.536317909E-1
4.148437500E3	1.632719912E-1
4.171875000E3	1.482139996E-1
4.195312500E3	1.360567426E-1
4.218750000E3	1.468751360E-1
4.242187500E3	1.595978107E-1
4.265625000E3	1.484407283E-1
4.289062500E3	1.523918093E-1
4.312500000E3	1.484334420E-1
4.335937500E3	1.448764764E-1
4.359375000E3	1.541536306E-1
4.382812500E3	1.413975200E-1
4.406250000E3	1.376125182E-1
4.429687500E3	1.474489419E-1
4.453125000E3	1.546045005E-1
4.476562500E3	1.454762158E-1
4.500000000E3	1.361440197E-1
4.523437500E3	1.360659595E-1
4.546875000E3	1.465067648E-1
4.570312500E3	1.477431093E-1
4.593750000E3	1.520580668E-1
4.617187500E3	1.332271679E-1
4.640625000E3	1.434226090E-1
4.664062500E3	1.406804462E-1
4.687500000E3	1.400646307E-1
4.710937500E3	1.264464724E-1
4.734375000E3	1.376240248E-1
4.757812500E3	1.470320653E-1
4.781250000E3	1.334896480E-1
4.804687500E3	1.163369962E-1
4.828125000E3	1.403297169E-1
4.851562500E3	1.608343936E-1
4.875000000E3	1.412604650E-1
4.898437500E3	1.445897529E-1
4.921875000E3	1.540761471E-1
4.945312500E3	1.717804948E-1
4.968750000E3	1.332001977E-1
4.992187500E3	2.701075171E-1
5.015625000E3	4.036033830E-2
5.039062500E3	6.707710310E-2
5.062500000E3	1.196015784E-1
5.085937500E3	9.185147830E-2
5.109375000E3	9.011967084E-2
5.132812500E3	9.776667613E-2
5.156250000E3	1.247018422E-1
5.179687500E3	1.195603747E-1
5.203125000E3	1.178842450E-1
5.226562500E3	1.102198650E-1
5.250000000E3	1.006363930E-1
5.273437500E3	9.025380062E-2
5.296875000E3	1.146032079E-1
5.320312500E3	1.318130186E-1
5.343750000E3	1.108122019E-1
5.367187500E3	1.021601829E-1
5.390625000E3	1.051455062E-1
5.414062500E3	1.176280436E-1
5.437500000E3	1.074812740E-1
5.460937500E3	1.109671951E-1
5.484375000E3	1.127672890E-1
5.507812500E3	1.140155008E-1
5.531250000E3	1.129168830E-1
5.554687500E3	1.157888701E-1
5.578125000E3	9.911656528E-2
5.601562500E3	1.189245262E-1
5.625000000E3	1.048427485E-1
5.648437500E3	1.141083591E-1
5.671875000E3	1.027912815E-1
