"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	1.839952167E0
4.687500000E1	1.800006272E0
7.031250000E1	2.010801657E0
9.375000000E1	1.867219066E0
1.171875000E2	1.950776807E0
1.406250000E2	2.054345667E0
1.640625000E2	1.960430086E0
1.875000000E2	2.272026538E0
2.109375000E2	2.374374636E0
2.343750000E2	2.646214189E0
2.578125000E2	2.802177045E0
2.812500000E2	3.096570863E0
3.046875000E2	3.556530606E0
3.281250000E2	4.284346515E0
3.515625000E2	5.262052032E0
3.750000000E2	6.911459657E0
3.984375000E2	1.039876391E1
4.218750000E2	2.348031571E1
4.453125000E2	8.012032612E1
4.687500000E2	1.455181844E1
4.921875000E2	7.733646377E0
5.156250000E2	5.231972706E0
5.390625000E2	4.105630391E0
5.625000000E2	3.258699331E0
5.859375000E2	2.540047592E0
6.093750000E2	2.190510865E0
6.328125000E2	1.963560456E0
6.562500000E2	1.742079645E0
6.796875000E2	1.433810842E0
7.031250000E2	1.330635116E0
7.265625000E2	1.298704954E0
7.500000000E2	1.134049689E0
7.734375000E2	1.139816016E0
7.968750000E2	1.003792641E0
8.203125000E2	8.267182103E-1
8.437500000E2	7.244444218E-1
8.671875000E2	7.496900755E-1
8.906250000E2	6.716622197E-1
9.140625000E2	6.529971225E-1
9.375000000E2	6.295193497E-1
9.609375000E2	6.307977914E-1
9.843750000E2	5.720810890E-1
1.007812500E3	5.497053047E-1
1.031250000E3	5.383840064E-1
1.054687500E3	5.196418629E-1
1.078125000E3	4.800474986E-1
1.101562500E3	4.654181317E-1
1.125000000E3	4.316877169E-1
1.148437500E3	3.994930416E-1
1.171875000E3	4.017770190E-1
1.195312500E3	4.036500147E-1
1.218750000E3	4.025221304E-1
1.242187500E3	3.801870192E-1
1.265625000E3	3.840959565E-1
1.289062500E3	4.543469688E-1
1.312500000E3	9.144963681E-1
1.335937500E3	2.734651484E-1
1.359375000E3	2.003520106E-1
1.382812500E3	2.357165042E-1
1.406250000E3	2.871645358E-1
1.429687500E3	2.843223851E-1
1.453125000E3	2.548030161E-1
1.476562500E3	2.563242549E-1
1.500000000E3	2.684532636E-1
1.523437500E3	2.152922024E-1
1.546875000E3	1.984258290E-1
1.570312500E3	2.069541815E-1
1.593750000E3	1.962838811E-1
1.617187500E3	2.026059654E-1
1.640625000E3	1.961485533E-1
1.664062500E3	1.865633970E-1
1.687500000E3	1.765662809E-1
1.710937500E3	1.810630743E-1
1.734375000E3	1.762241923E-1
1.757812500E3	1.504748124E-1
1.781250000E3	1.326290401E-1
1.804687500E3	1.501888072E-1
1.828125000E3	1.484417043E-1
1.851562500E3	1.572571086E-1
1.875000000E3	1.019353856E-1
1.898437500E3	5.519704246E-2
1.921875000E3	1.444254174E-1
1.945312500E3	1.223819030E-1
1.968750000E3	1.053778582E-1
1.992187500E3	6.442991472E-2
2.015625000E3	7.552646804E-2
2.039062500E3	6.516072558E-2
2.062500000E3	5.313347331E-2
2.085937500E3	1.064936799E-1
2.109375000E3	1.420251156E-1
2.132812500E3	1.863140506E-1
2.156250000E3	3.766164262E-1
2.179687500E3	1.013990665E0
2.203125000E3	9.072671678E0
2.226562500E3	1.194045202E0
2.250000000E3	6.432340749E-1
2.273437500E3	4.734332532E-1
2.296875000E3	4.110937149E-1
2.320312500E3	3.599712880E-1
2.343750000E3	3.366715171E-1
2.367187500E3	3.322923557E-1
2.390625000E3	2.995268283E-1
2.414062500E3	2.946466343E-1
2.437500000E3	2.754488041E-1
2.460937500E3	2.753779450E-1
2.484375000E3	2.786507148E-1
2.507812500E3	2.223454921E-1
2.531250000E3	2.222179011E-1
2.554687500E3	2.225321171E-1
2.578125000E3	2.088495951E-1
2.601562500E3	2.046439741E-1
2.625000000E3	2.307143561E-1
2.648437500E3	2.554894678E-1
2.671875000E3	2.097585467E-1
2.695312500E3	2.163228709E-1
2.718750000E3	2.111951416E-1
