"Time (s)"	"Recording (a.u.)"
0.000000000E0	-5.520798364E-2
2.083333333E-5	-5.365153966E-2
4.166666667E-5	-4.953154088E-2
6.250000000E-5	-4.568620869E-2
8.333333333E-5	-4.113895077E-2
1.041666667E-4	-3.454695273E-2
1.250000000E-4	-2.868739891E-2
1.458333333E-4	-2.148503067E-2
1.666666667E-4	-1.300088504E-2
1.875000000E-4	-6.256294443E-3
2.083333333E-4	2.166814173E-3
2.291666667E-4	1.004058962E-2
2.500000000E-4	1.791436506E-2
2.708333333E-4	2.484206671E-2
2.916666667E-4	3.155613880E-2
3.125000000E-4	3.851435896E-2
3.333333333E-4	4.409924619E-2
3.541666667E-4	4.846339305E-2
3.750000000E-4	5.200354015E-2
3.958333333E-4	5.536057619E-2
4.166666667E-4	5.597094638E-2
4.375000000E-4	5.792413099E-2
4.583333333E-4	5.780205695E-2
4.791666667E-4	5.697805719E-2
5.000000000E-4	5.529953917E-2
5.208333333E-4	5.301065096E-2
5.416666667E-4	4.886013367E-2
5.625000000E-4	4.589983825E-2
5.833333333E-4	3.994872890E-2
6.041666667E-4	3.515732292E-2
6.250000000E-4	2.835169530E-2
6.458333333E-4	2.020325327E-2
6.666666667E-4	1.382488479E-2
6.875000000E-4	4.669331950E-3
7.083333333E-4	-3.021332438E-3
7.291666667E-4	-1.049836726E-2
7.500000000E-4	-1.803643910E-2
7.708333333E-4	-2.563554796E-2
7.916666667E-4	-3.244117557E-2
8.125000000E-4	-3.885006256E-2
8.333333333E-4	-4.486220893E-2
8.541666667E-4	-4.947050386E-2
8.750000000E-4	-5.230872524E-2
8.958333333E-4	-5.575731681E-2
9.166666667E-4	-5.752739036E-2
9.375000000E-4	-5.832087161E-2
9.583333333E-4	-5.877864925E-2
9.791666667E-4	-5.728324229E-2
1.000000000E-3	-5.536057619E-2
1.020833333E-3	-5.282753990E-2
1.041666667E-3	-4.950102237E-2
1.062500000E-3	-4.510635701E-2
1.083333333E-3	-4.138309885E-2
1.104166667E-3	-3.521835994E-2
1.125000000E-3	-2.813806574E-2
1.145833333E-3	-2.029480880E-2
1.166666667E-3	-1.351969970E-2
1.187500000E-3	-4.608294931E-3
1.208333333E-3	2.044740135E-3
1.229166667E-3	9.979552599E-3
1.250000000E-3	1.788384655E-2
1.270833333E-3	2.511673330E-2
1.291666667E-3	3.323465682E-2
1.312500000E-3	3.936887722E-2
1.333333333E-3	4.449598682E-2
1.354166667E-3	4.925687429E-2
1.375000000E-3	5.337687307E-2
1.395833333E-3	5.514694662E-2
1.416666667E-3	5.710013123E-2
1.437500000E-3	5.841242714E-2
1.458333333E-3	5.865657521E-2
1.479166667E-3	5.706961272E-2
1.500000000E-3	5.520798364E-2
1.520833333E-3	5.267494736E-2
1.541666667E-3	4.937894833E-2
1.562500000E-3	4.614398633E-2
1.583333333E-3	4.095583972E-2
1.604166667E-3	3.534043397E-2
1.625000000E-3	2.887050996E-2
1.645833333E-3	2.200384533E-2
1.666666667E-3	1.361125523E-2
1.687500000E-3	5.981627857E-3
1.708333333E-3	-1.525925474E-3
1.729166667E-3	-9.704886013E-3
1.750000000E-3	-1.773125401E-2
1.770833333E-3	-2.539139988E-2
1.791666667E-3	-3.262428663E-2
1.812500000E-3	-3.924680319E-2
1.833333333E-3	-4.480117191E-2
1.854166667E-3	-4.980620746E-2
1.875000000E-3	-5.270546587E-2
1.895833333E-3	-5.490279855E-2
1.916666667E-3	-5.664235359E-2
1.937500000E-3	-5.780205695E-2
1.958333333E-3	-5.780205695E-2
1.979166667E-3	-5.636768700E-2
2.000000000E-3	-5.468916898E-2
2.020833333E-3	-5.197302164E-2
2.041666667E-3	-4.940946684E-2
2.062500000E-3	-4.483169042E-2
2.083333333E-3	-4.000976592E-2
2.104166667E-3	-3.503524888E-2
2.125000000E-3	-2.847376934E-2
2.145833333E-3	-2.081362346E-2
2.166666667E-3	-1.376384777E-2
2.187500000E-3	-5.401776177E-3
2.208333333E-3	2.258369701E-3
2.229166667E-3	9.918515580E-3
2.250000000E-3	1.788384655E-2
2.270833333E-3	2.575762200E-2
2.291666667E-3	3.241065706E-2
2.312500000E-3	3.933835871E-2
2.333333333E-3	4.492324595E-2
2.354166667E-3	4.956205939E-2
2.375000000E-3	5.322428053E-2
2.395833333E-3	5.502487259E-2
2.416666667E-3	5.740531632E-2
2.437500000E-3	5.835139012E-2
2.458333333E-3	5.850398267E-2
2.479166667E-3	5.722220527E-2
2.500000000E-3	5.471968749E-2
2.520833333E-3	5.224768822E-2
2.541666667E-3	4.980620746E-2
2.562500000E-3	4.507583850E-2
2.583333333E-3	4.074221015E-2
2.604166667E-3	3.518784143E-2
2.625000000E-3	2.911465804E-2
2.645833333E-3	2.182073428E-2
2.666666667E-3	1.425214393E-2
2.687500000E-3	6.134220405E-3
2.708333333E-3	-1.373332926E-3
2.729166667E-3	-9.002960295E-3
