"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
1.000000000E1	3.154519303E-2
2.000000000E1	4.931772836E-2
3.000000000E1	1.138244875E-1
4.000000000E1	1.410550105E-1
5.000000000E1	8.991236767E-2
6.000000000E1	6.017254406E-1
7.000000000E1	7.170141084E-1
8.000000000E1	2.431805013E-1
9.000000000E1	2.172194104E-2
1.000000000E2	1.260478034E-1
1.100000000E2	3.362052151E-1
1.200000000E2	2.331786905E-1
1.300000000E2	1.158891414E-1
1.400000000E2	6.060149585E-2
1.500000000E2	1.404059344E-1
1.600000000E2	1.040042663E-1
1.700000000E2	2.414539878E-1
1.800000000E2	2.264838847E-1
1.900000000E2	1.175088524E-1
2.000000000E2	1.193101423E-1
2.100000000E2	2.306310965E-1
2.200000000E2	2.029198750E-1
2.300000000E2	3.966414938E-1
2.400000000E2	3.431881330E-1
2.500000000E2	1.661301964E-1
2.600000000E2	2.308183544E-1
2.700000000E2	1.144564306E-1
2.800000000E2	1.871586990E-1
2.900000000E2	9.849573529E-2
3.000000000E2	5.829762045E-2
3.100000000E2	1.380279374E-1
3.200000000E2	3.222905945E-1
3.300000000E2	2.202039563E-1
3.400000000E2	3.289075739E-1
3.500000000E2	8.008837480E-2
3.600000000E2	3.899437631E-1
3.700000000E2	3.720076634E-1
3.800000000E2	1.586057792E-1
3.900000000E2	4.137004857E-1
4.000000000E2	5.472238536E-1
4.100000000E2	5.144223960E-1
4.200000000E2	9.164094569E-1
4.300000000E2	1.694686357E0
4.400000000E2	2.043763779E2
4.500000000E2	1.681734643E0
4.600000000E2	8.749552476E-1
4.700000000E2	4.575817990E-1
4.800000000E2	4.905900501E-1
4.900000000E2	1.960395406E-1
5.000000000E2	3.080153338E-1
5.100000000E2	7.317529021E-2
5.200000000E2	3.514933705E-1
5.300000000E2	2.768997757E-1
5.400000000E2	1.611190375E-1
5.500000000E2	1.255590854E-1
5.600000000E2	1.944531437E-1
5.700000000E2	1.174605144E-1
5.800000000E2	1.225953581E-1
5.900000000E2	8.450188308E-2
6.000000000E2	1.432166773E-1
6.100000000E2	7.917677715E-2
6.200000000E2	1.268730188E-1
6.300000000E2	1.675161421E-2
6.400000000E2	2.139970634E-2
6.500000000E2	1.207179358E-1
6.600000000E2	3.577972742E-2
6.700000000E2	1.590814489E-2
6.800000000E2	2.598305243E-2
6.900000000E2	1.398414978E-1
7.000000000E2	1.493616326E-1
