"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	3.603779392E-1
4.687500000E1	3.162812080E-1
7.031250000E1	3.436132520E-1
9.375000000E1	4.294076833E-1
1.171875000E2	3.793327692E-1
1.406250000E2	3.647263987E-1
1.640625000E2	3.852936933E-1
1.875000000E2	3.694930589E-1
2.109375000E2	4.509810210E-1
2.343750000E2	4.455663282E-1
2.578125000E2	4.238550479E-1
2.812500000E2	3.998961801E-1
3.046875000E2	4.242232263E-1
3.281250000E2	4.671617502E-1
3.515625000E2	4.042339326E-1
3.750000000E2	4.545283674E-1
3.984375000E2	4.606244693E-1
4.218750000E2	4.959209741E-1
4.453125000E2	4.699458375E-1
4.687500000E2	4.960570326E-1
4.921875000E2	5.214467223E-1
5.156250000E2	5.326334493E-1
5.390625000E2	5.644846956E-1
5.625000000E2	5.788129660E-1
5.859375000E2	6.001366133E-1
6.093750000E2	6.280477975E-1
6.328125000E2	7.786284430E-1
6.562500000E2	7.175565886E-1
6.796875000E2	7.174318685E-1
7.031250000E2	8.276543673E-1
7.265625000E2	9.003812681E-1
7.500000000E2	9.236571193E-1
7.734375000E2	1.052351809E0
7.968750000E2	1.248311919E0
8.203125000E2	1.256037869E0
8.437500000E2	1.574382979E0
8.671875000E2	1.791048464E0
8.906250000E2	2.153851363E0
9.140625000E2	2.675634123E0
9.375000000E2	3.671183226E0
9.609375000E2	5.823783915E0
9.843750000E2	1.409175199E1
1.007812500E3	3.019091816E1
1.031250000E3	7.216505594E0
1.054687500E3	4.074769935E0
1.078125000E3	2.877769329E0
1.101562500E3	2.250336006E0
1.125000000E3	1.804872670E0
1.148437500E3	1.535870194E0
1.171875000E3	1.330809705E0
1.195312500E3	1.052312993E0
1.218750000E3	1.010933471E0
1.242187500E3	8.663551849E-1
1.265625000E3	8.291847566E-1
1.289062500E3	7.598113903E-1
1.312500000E3	6.459230994E-1
1.335937500E3	6.215866175E-1
1.359375000E3	6.334528276E-1
1.382812500E3	5.596030075E-1
1.406250000E3	5.363448564E-1
1.429687500E3	5.404019220E-1
1.453125000E3	4.804571750E-1
1.476562500E3	4.745124007E-1
1.500000000E3	4.508463869E-1
1.523437500E3	4.317242901E-1
1.546875000E3	4.301755967E-1
1.570312500E3	4.147587349E-1
1.593750000E3	4.216686707E-1
1.617187500E3	4.132454962E-1
1.640625000E3	3.633479730E-1
1.664062500E3	3.607071078E-1
1.687500000E3	3.992803136E-1
1.710937500E3	3.274573888E-1
1.734375000E3	3.482182918E-1
1.757812500E3	3.456367980E-1
1.781250000E3	3.840352775E-1
1.804687500E3	3.664369170E-1
1.828125000E3	4.965021031E-1
1.851562500E3	4.893773280E-1
1.875000000E3	5.028310125E-1
1.898437500E3	5.696376450E-1
1.921875000E3	6.800510224E-1
1.945312500E3	9.641050075E-1
1.968750000E3	1.628867809E0
1.992187500E3	5.481354401E0
2.015625000E3	3.031447656E0
2.039062500E3	1.106610964E0
2.062500000E3	6.667732837E-1
2.085937500E3	4.434790823E-1
2.109375000E3	3.862241951E-1
2.132812500E3	2.799728883E-1
2.156250000E3	2.760597340E-1
2.179687500E3	3.196902378E-1
2.203125000E3	1.497781924E-1
2.226562500E3	2.464941825E-1
2.250000000E3	1.414217513E-1
2.273437500E3	1.681948918E-1
2.296875000E3	1.926286427E-1
2.320312500E3	1.824902180E-1
2.343750000E3	1.393000385E-1
2.367187500E3	9.777899730E-2
2.390625000E3	1.281574330E-1
2.414062500E3	1.133690726E-1
2.437500000E3	1.134962883E-1
2.460937500E3	1.235323783E-1
2.484375000E3	1.131186285E-1
2.507812500E3	1.223079036E-1
2.531250000E3	1.111940153E-1
2.554687500E3	9.800162803E-2
2.578125000E3	1.234918827E-1
2.601562500E3	1.024444724E-1
2.625000000E3	1.418769040E-1
2.648437500E3	1.118974002E-1
2.671875000E3	1.142316325E-1
2.695312500E3	1.268781888E-1
2.718750000E3	8.370698193E-2
2.742187500E3	1.007605602E-1
2.765625000E3	9.588765931E-2
2.789062500E3	1.367368165E-1
2.812500000E3	6.876713815E-2
2.835937500E3	6.197218700E-2
2.859375000E3	8.328751600E-2
2.882812500E3	8.210613747E-2
2.906250000E3	1.437959631E-1
2.929687500E3	1.370251770E-1
2.953125000E3	1.386692957E-1
2.976562500E3	1.677524737E-1
3.000000000E3	3.051060602E0
3.023437500E3	1.466035908E-1
3.046875000E3	9.447483821E-2
3.070312500E3	1.153532929E-1
3.093750000E3	9.229681972E-2
3.117187500E3	8.977288244E-2
3.140625000E3	1.330607935E-1
3.164062500E3	7.686481101E-2
3.187500000E3	9.691059315E-2
3.210937500E3	1.013329737E-1
3.234375000E3	6.430275831E-2
3.257812500E3	9.004784736E-2
3.281250000E3	1.130918806E-1
3.304687500E3	1.103420814E-1
3.328125000E3	1.068928691E-1
3.351562500E3	8.696024580E-2
3.375000000E3	9.337922922E-2
3.398437500E3	7.116759314E-2
3.421875000E3	8.876988608E-2
3.445312500E3	7.701653893E-2
3.468750000E3	1.073418455E-1
3.492187500E3	9.327447049E-2
3.515625000E3	9.281016045E-2
3.539062500E3	9.671438818E-2
3.562500000E3	7.328140617E-2
3.585937500E3	8.877828036E-2
3.609375000E3	1.052938473E-1
3.632812500E3	9.461240804E-2
3.656250000E3	1.074752351E-1
3.679687500E3	1.092332511E-1
3.703125000E3	1.175998112E-1
3.726562500E3	1.003070198E-1
3.750000000E3	1.283209774E-1
3.773437500E3	1.251874562E-1
3.796875000E3	8.843507247E-2
3.820312500E3	1.158081425E-1
3.843750000E3	1.287742736E-1
3.867187500E3	1.478268159E-1
3.890625000E3	2.138212374E-1
3.914062500E3	2.188116632E-1
3.937500000E3	2.846266997E-1
3.960937500E3	4.154704612E-1
3.984375000E3	9.046107284E-1
4.007812500E3	2.249415866E0
4.031250000E3	4.484929043E-1
4.054687500E3	2.817106390E-1
4.078125000E3	1.662839551E-1
4.101562500E3	1.158044846E-1
4.125000000E3	1.073998528E-1
4.148437500E3	1.145956922E-1
4.171875000E3	1.061115899E-1
4.195312500E3	4.405359577E-2
4.218750000E3	1.216890343E-2
4.242187500E3	2.973556373E-2
4.265625000E3	3.255162435E-2
4.289062500E3	2.976485758E-2
4.312500000E3	2.735235934E-2
4.335937500E3	6.711436493E-2
4.359375000E3	7.940289549E-2
4.382812500E3	1.829439788E-2
4.406250000E3	4.804412386E-2
4.429687500E3	4.131534914E-2
4.453125000E3	1.321247018E-2
4.476562500E3	2.885243854E-2
4.500000000E3	3.981972538E-2
4.523437500E3	1.352281608E-2
4.546875000E3	3.066130385E-2
4.570312500E3	2.042694895E-2
4.593750000E3	3.517863668E-2
4.617187500E3	2.771025322E-2
4.640625000E3	3.555785419E-2
4.664062500E3	1.894578159E-2
4.687500000E3	1.007925560E-2
4.710937500E3	3.030768913E-2
4.734375000E3	4.378579986E-2
4.757812500E3	2.492230312E-2
4.781250000E3	3.126406674E-2
4.804687500E3	1.506280010E-2
4.828125000E3	1.453676246E-2
4.851562500E3	3.179446836E-2
4.875000000E3	3.685981810E-2
4.898437500E3	2.435656378E-2
4.921875000E3	1.173024381E-1
4.945312500E3	1.422980187E-1
4.968750000E3	2.492954629E-1
4.992187500E3	8.722378311E-1
5.015625000E3	6.633468513E-1
5.039062500E3	2.911030547E-1
5.062500000E3	1.460040085E-1
5.085937500E3	1.399790822E-1
5.109375000E3	1.292329233E-1
5.132812500E3	8.215223792E-2
5.156250000E3	9.668353863E-2
5.179687500E3	8.775926895E-2
5.203125000E3	8.053672267E-2
5.226562500E3	6.084606454E-2
5.250000000E3	5.457024532E-2
5.273437500E3	6.337386216E-2
5.296875000E3	8.160401019E-2
5.320312500E3	4.501718294E-2
5.343750000E3	6.484949440E-2
5.367187500E3	5.157763128E-2
5.390625000E3	4.335212580E-2
5.414062500E3	5.157967448E-2
5.437500000E3	6.284091804E-2
5.460937500E3	5.565093209E-2
5.484375000E3	6.669904969E-2
5.507812500E3	4.512604492E-2
5.531250000E3	8.534953313E-3
5.554687500E3	1.072730097E-1
5.578125000E3	4.508816509E-2
5.601562500E3	5.854775713E-2
5.625000000E3	5.446559768E-2
5.648437500E3	5.349823968E-2
5.671875000E3	3.259845312E-2
5.695312500E3	5.979807883E-2
5.718750000E3	6.673699521E-2
5.742187500E3	4.118832914E-2
5.765625000E3	5.027828788E-2
5.789062500E3	4.148767629E-2
5.812500000E3	3.838611754E-2
5.835937500E3	3.063885235E-2
5.859375000E3	5.351295585E-2
5.882812500E3	5.036935547E-2
5.906250000E3	6.791391994E-2
5.929687500E3	6.991744576E-2
5.953125000E3	1.520984167E-1
5.976562500E3	2.668888823E-1
6.000000000E3	3.113304401E0
6.023437500E3	3.805200165E-1
6.046875000E3	1.726205466E-1
6.070312500E3	1.180866128E-1
6.093750000E3	1.290409792E-1
6.117187500E3	8.450056177E-2
6.140625000E3	6.168045001E-2
6.164062500E3	9.520423114E-2
6.187500000E3	5.453159036E-2
