"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
1.168355653E0	1.001890199E3	6.414550670E-1
1.183355966E0	1.001079139E3	3.665117118E-1
1.198356278E0	1.000360876E3	1.226535589E-1
1.213356591E0	9.996965828E2	-1.031931679E-1
1.228356903E0	9.989193921E2	-3.678041234E-1
1.243357216E0	9.986377323E2	-4.638028549E-1
1.258357528E0	9.985176744E2	-5.047388854E-1
1.273357841E0	9.982563157E2	-5.938882298E-1
1.288358153E0	9.982419275E2	-5.987973692E-1
1.303358466E0	9.981451471E2	-6.318219198E-1
1.318358778E0	9.980572560E2	-6.618187070E-1
1.333359091E0	9.979219746E2	-7.079998869E-1
1.348359403E0	9.979570699E2	-6.960181337E-1
1.363359716E0	9.979173327E2	-7.095847207E-1
1.378360028E0	9.976554865E2	-7.990078834E-1
1.393360341E0	9.973610469E2	-8.996181030E-1
1.408360653E0	9.975454049E2	-8.366158912E-1
1.423360966E0	9.979659194E2	-6.929970234E-1
1.438361278E0	9.985088688E2	-5.077417102E-1
1.453361591E0	9.986637740E2	-4.549247141E-1
1.468361903E0	9.981889203E2	-6.168843117E-1
1.483362216E0	9.975077774E2	-8.494727613E-1
1.498362528E0	9.973075141E2	-9.179166855E-1
1.513362841E0	9.975271670E2	-8.428474344E-1
1.528363153E0	9.978655104E2	-7.272788474E-1
1.543363466E0	9.978946744E2	-7.173209061E-1
1.558363778E0	9.979435214E2	-7.006435916E-1
1.573364091E0	9.979574927E2	-6.958738192E-1
1.588364403E0	9.979500144E2	-6.984268684E-1
1.603364716E0	9.979631064E2	-6.939573465E-1
1.618365028E0	9.979889747E2	-6.851264235E-1
1.633365341E0	9.980098963E2	-6.779845336E-1
1.648365653E0	9.979603173E2	-6.949095164E-1
1.663365966E0	9.981165237E2	-6.415903697E-1
1.678366278E0	9.981635344E2	-6.255471029E-1
1.693366591E0	9.982497605E2	-5.961247917E-1
1.708366903E0	9.982822957E2	-5.850243635E-1
1.723367216E0	9.983800929E2	-5.516620480E-1
1.738367528E0	9.983075164E2	-5.764199903E-1
1.753367841E0	9.984063230E2	-5.427150894E-1
1.866332344E0	9.984163211E2	-5.393049023E-1
1.881332657E0	9.984248964E2	-5.363800702E-1
1.896332969E0	9.984680461E2	-5.216635065E-1
1.911333282E0	9.984611214E2	-5.240251282E-1
1.926333594E0	9.985308890E2	-5.002326242E-1
1.941333907E0	9.986579788E2	-4.569003865E-1
1.956334219E0	9.987868666E2	-4.129663450E-1
1.971334532E0	9.989165406E2	-3.687757332E-1
1.986334844E0	9.991265444E2	-2.972345288E-1
2.001335157E0	9.994371105E2	-1.914902186E-1
2.016335469E0	9.996915855E2	-1.048932815E-1
2.031335782E0	1.000032377E3	1.100794804E-2
2.046336094E0	1.000585271E3	1.988758554E-1
2.061336407E0	1.000997941E3	3.389616163E-1
2.076336719E0	1.001513586E3	5.138416396E-1
2.091337032E0	1.001868750E3	6.341898495E-1
2.106337344E0	1.002184929E3	7.412564353E-1
