"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
1.193581114E0	9.948206430E2	-1.770149605E0
1.203581322E0	9.950432723E2	-1.693682537E0
1.213581531E0	9.958319600E2	-1.423065005E0
1.223581739E0	9.970391512E2	-1.009678101E0
1.233581947E0	9.973952153E2	-8.879396879E-1
1.243582156E0	9.984133402E2	-5.403216487E-1
1.253582364E0	9.988129588E2	-4.040736486E-1
1.263582572E0	9.995544063E2	-1.515693877E-1
1.273582781E0	9.997788813E2	-7.519699778E-2
1.283582989E0	1.000413834E3	1.406451917E-1
1.293583197E0	9.997813137E2	-7.436961892E-2
1.303583406E0	1.000154019E3	5.235838150E-2
1.313583614E0	1.000072277E3	2.457235402E-2
1.323583822E0	1.000028593E3	9.721281483E-3
1.333584031E0	9.995353860E2	-1.580421989E-1
1.343584239E0	9.997161492E2	-9.653667783E-2
1.353584447E0	9.990206190E2	-3.333159767E-1
1.363584656E0	9.987777413E2	-4.160765036E-1
1.373584864E0	9.985854348E2	-4.816334859E-1
1.383585072E0	9.990766901E2	-3.142154777E-1
1.393585281E0	9.966595847E2	-1.139547763E0
1.403585489E0	9.966365722E2	-1.147424736E0
1.413585697E0	9.999869981E2	-4.420714638E-3
1.423585906E0	1.000038554E3	1.310792101E-2
1.433586114E0	9.993013340E2	-2.377125152E-1
1.443586322E0	9.992638751E2	-2.504668432E-1
1.453586531E0	9.986243983E2	-4.683488331E-1
1.463586739E0	9.987939548E2	-4.105505123E-1
1.473586947E0	9.989019225E2	-3.737567742E-1
1.483587156E0	9.991154079E2	-3.010275901E-1
1.493587364E0	9.989573859E2	-3.548587732E-1
1.503587572E0	9.988970408E2	-3.754201915E-1
1.513587781E0	9.995036170E2	-1.688540313E-1
1.523587989E0	9.994084649E2	-2.012409774E-1
1.533588197E0	1.000137354E3	4.669408580E-2
1.543588406E0	1.000078485E3	2.668287828E-2
1.553588614E0	1.000827154E3	2.809999711E-1
1.563588822E0	1.000992872E3	3.372414883E-1
1.573589031E0	1.001913758E3	6.494350029E-1
1.583589239E0	1.002065210E3	7.007243431E-1
1.593589448E0	9.992124613E2	-2.679741830E-1
1.603589656E0	9.992430337E2	-2.575635092E-1
1.613589864E0	9.995938202E2	-1.381572357E-1
1.623590073E0	9.995149155E2	-1.650087688E-1
1.633590281E0	1.000246946E3	8.394102228E-2
1.643590489E0	1.000767601E3	2.607839943E-1
