"Time (s)"	"Recording (a.u.)"
0.000000000E0	1.382488479E-2
2.083333333E-5	1.574755089E-2
4.166666667E-5	1.538132878E-2
6.250000000E-5	1.562547685E-2
8.333333333E-5	1.840266121E-2
1.041666667E-4	2.151554918E-2
1.250000000E-4	2.414014100E-2
1.458333333E-4	2.841273232E-2
1.666666667E-4	3.314310129E-2
1.875000000E-4	3.268532365E-2
2.083333333E-4	3.540147099E-2
2.291666667E-4	3.732413709E-2
2.500000000E-4	3.671376690E-2
2.708333333E-4	3.476058229E-2
2.916666667E-4	3.540147099E-2
3.125000000E-4	3.686635945E-2
3.333333333E-4	3.747672964E-2
3.541666667E-4	3.985717338E-2
3.750000000E-4	4.309213538E-2
3.958333333E-4	4.535050508E-2
4.166666667E-4	4.538102359E-2
4.375000000E-4	4.663228248E-2
4.583333333E-4	4.956205939E-2
4.791666667E-4	5.282753990E-2
5.000000000E-4	5.459761345E-2
5.208333333E-4	5.572679830E-2
5.416666667E-4	5.789361248E-2
5.625000000E-4	5.865657521E-2
5.833333333E-4	5.957213050E-2
6.041666667E-4	6.021301920E-2
6.250000000E-4	6.198309275E-2
6.458333333E-4	6.399731437E-2
6.666666667E-4	6.564531388E-2
6.875000000E-4	6.613361003E-2
7.083333333E-4	6.552323984E-2
7.291666667E-4	6.338694418E-2
7.500000000E-4	6.100650044E-2
7.708333333E-4	5.999938963E-2
7.916666667E-4	5.795464949E-2
8.125000000E-4	5.551316874E-2
8.333333333E-4	5.285805841E-2
8.541666667E-4	4.910428175E-2
8.750000000E-4	4.501480148E-2
8.958333333E-4	4.040650655E-2
9.166666667E-4	3.598132267E-2
9.375000000E-4	3.378398999E-2
9.583333333E-4	3.198339793E-2
9.791666667E-4	2.902310251E-2
1.000000000E-3	2.313303018E-2
1.020833333E-3	1.852473525E-2
1.041666667E-3	1.211584826E-2
1.062500000E-3	4.791405988E-3
1.083333333E-3	-3.265480514E-3
1.104166667E-3	-8.911404767E-3
1.125000000E-3	-1.257362590E-2
1.145833333E-3	-1.763969848E-2
1.166666667E-3	-2.142399365E-2
1.187500000E-3	-2.450636311E-2
1.208333333E-3	-2.914517655E-2
1.229166667E-3	-3.323465682E-2
1.250000000E-3	-3.729361858E-2
1.270833333E-3	-4.092532121E-2
1.291666667E-3	-4.495376446E-2
1.312500000E-3	-4.644917142E-2
1.333333333E-3	-4.947050386E-2
1.354166667E-3	-5.066072573E-2
1.375000000E-3	-5.063020722E-2
1.395833333E-3	-5.465865047E-2
1.416666667E-3	-5.844294565E-2
1.437500000E-3	-6.280709250E-2
1.458333333E-3	-6.875820185E-2
1.479166667E-3	-7.223731193E-2
1.500000000E-3	-7.266457106E-2
1.520833333E-3	-7.263405255E-2
1.541666667E-3	-7.351908933E-2
1.562500000E-3	-7.263405255E-2
1.583333333E-3	-7.278664510E-2
1.604166667E-3	-7.309183020E-2
1.625000000E-3	-7.489242225E-2
1.645833333E-3	-7.666249580E-2
1.666666667E-3	-7.739494003E-2
1.687500000E-3	-7.699819941E-2
1.708333333E-3	-7.547227393E-2
1.729166667E-3	-7.058931242E-2
1.750000000E-3	-6.357005524E-2
1.770833333E-3	-5.807672353E-2
1.791666667E-3	-5.386516923E-2
1.812500000E-3	-4.733420820E-2
1.833333333E-3	-4.745628224E-2
1.854166667E-3	-4.937894833E-2
1.875000000E-3	-5.145420698E-2
1.895833333E-3	-4.937894833E-2
1.916666667E-3	-4.126102481E-2
1.937500000E-3	-3.250221259E-2
1.958333333E-3	-2.893154698E-2
1.979166667E-3	-2.618488113E-2
2.000000000E-3	-2.301095614E-2
2.020833333E-3	-1.840266121E-2
2.041666667E-3	-1.605273598E-2
2.062500000E-3	-1.187170019E-2
2.083333333E-3	-7.263405255E-3
2.104166667E-3	-3.418073061E-3
2.125000000E-3	4.882961516E-4
2.145833333E-3	4.730368969E-3
2.166666667E-3	8.270516068E-3
2.187500000E-3	1.281777398E-2
2.208333333E-3	1.492355113E-2
2.229166667E-3	1.492355113E-2
2.250000000E-3	1.266518143E-2
2.270833333E-3	1.211584826E-2
2.291666667E-3	1.559495834E-2
2.312500000E-3	1.742606891E-2
2.333333333E-3	1.626636555E-2
2.354166667E-3	1.571703238E-2
2.375000000E-3	1.950132756E-2
2.395833333E-3	2.313303018E-2
2.416666667E-3	2.636799219E-2
2.437500000E-3	2.801599170E-2
2.458333333E-3	3.118991668E-2
2.479166667E-3	3.384502701E-2
2.500000000E-3	3.460798975E-2
2.520833333E-3	3.537095248E-2
2.541666667E-3	3.402813807E-2
2.562500000E-3	3.295999023E-2
2.583333333E-3	3.433332316E-2
2.604166667E-3	3.674428541E-2
2.625000000E-3	3.906369213E-2
2.645833333E-3	4.049806207E-2
2.666666667E-3	4.379406110E-2
2.687500000E-3	4.556413465E-2
2.708333333E-3	4.629657888E-2
2.729166667E-3	4.818872646E-2
2.750000000E-3	5.276650288E-2
2.770833333E-3	5.624561296E-2
2.791666667E-3	5.771050142E-2
2.812500000E-3	5.902279733E-2
2.833333333E-3	5.938901944E-2
2.854166667E-3	6.125064852E-2
2.875000000E-3	6.173894467E-2
2.895833333E-3	6.289864803E-2
2.916666667E-3	6.653035066E-2
2.937500000E-3	6.845301675E-2
2.958333333E-3	6.826990570E-2
2.979166667E-3	6.839197974E-2
3.000000000E-3	6.680501724E-2
3.020833333E-3	6.408886990E-2
3.041666667E-3	6.158635212E-2
3.062500000E-3	6.179998169E-2
3.083333333E-3	6.085390790E-2
3.104166667E-3	5.792413099E-2
3.125000000E-3	5.475020600E-2
3.145833333E-3	5.023346660E-2
3.166666667E-3	4.449598682E-2
3.187500000E-3	3.930784021E-2
3.208333333E-3	3.582873012E-2
3.229166667E-3	3.424176763E-2
3.250000000E-3	3.183080538E-2
3.270833333E-3	2.639851070E-2
3.291666667E-3	2.117984558E-2
3.312500000E-3	1.577806940E-2
3.333333333E-3	8.850367748E-3
3.354166667E-3	1.129184851E-3
3.375000000E-3	-3.601184118E-3
3.395833333E-3	-9.125034333E-3
3.416666667E-3	-1.358073672E-2
3.437500000E-3	-1.937925352E-2
3.458333333E-3	-2.322458571E-2
3.479166667E-3	-2.807702872E-2
3.500000000E-3	-3.164769433E-2
3.520833333E-3	-3.479110080E-2
3.541666667E-3	-3.955198828E-2
3.562500000E-3	-4.202398755E-2
3.583333333E-3	-4.419080172E-2
3.604166667E-3	-4.788354137E-2
3.625000000E-3	-4.928739280E-2
3.645833333E-3	-4.974517045E-2
3.666666667E-3	-5.160679952E-2
3.687500000E-3	-5.618457595E-2
3.708333333E-3	-6.070131535E-2
3.729166667E-3	-6.552323984E-2
3.750000000E-3	-7.013153478E-2
3.770833333E-3	-7.269508957E-2
3.791666667E-3	-7.400738548E-2
3.812500000E-3	-7.254249702E-2
3.833333333E-3	-7.187108982E-2
3.854166667E-3	-7.300027467E-2
3.875000000E-3	-7.226783044E-2
3.895833333E-3	-7.272560808E-2
3.916666667E-3	-7.623523667E-2
3.937500000E-3	-7.660145878E-2
3.958333333E-3	-7.705923643E-2
3.979166667E-3	-7.550279244E-2
4.000000000E-3	-7.113864559E-2
4.020833333E-3	-6.585894345E-2
4.041666667E-3	-6.073183386E-2
4.062500000E-3	-5.404828028E-2
4.083333333E-3	-4.989776299E-2
4.104166667E-3	-4.855494858E-2
4.125000000E-3	-4.879909665E-2
4.145833333E-3	-4.855494858E-2
4.166666667E-3	-4.934842982E-2
4.187500000E-3	-4.510635701E-2
4.208333333E-3	-3.479110080E-2
4.229166667E-3	-2.679525132E-2
4.250000000E-3	-2.578814051E-2
4.270833333E-3	-2.417065950E-2
4.291666667E-3	-1.992858669E-2
4.312500000E-3	-1.562547685E-2
4.333333333E-3	-1.229895932E-2
4.354166667E-3	-8.148442030E-3
4.375000000E-3	-4.242072817E-3
4.395833333E-3	-7.324442274E-4
4.416666667E-3	4.669331950E-3
4.437500000E-3	8.819849239E-3
4.458333333E-3	1.168858913E-2
4.479166667E-3	1.550340281E-2
4.500000000E-3	1.748710593E-2
4.520833333E-3	1.553392132E-2
4.541666667E-3	1.348918119E-2
4.562500000E-3	1.516769921E-2
4.583333333E-3	1.831110569E-2
4.604166667E-3	1.852473525E-2
4.625000000E-3	1.528977325E-2
4.645833333E-3	1.757866146E-2
4.666666667E-3	2.435377056E-2
4.687500000E-3	2.618488113E-2
4.708333333E-3	2.786339915E-2
4.729166667E-3	3.149510178E-2
4.750000000E-3	3.482161931E-2
4.770833333E-3	3.668324839E-2
4.791666667E-3	3.619495224E-2
4.812500000E-3	3.677480392E-2
4.833333333E-3	3.543198950E-2
4.854166667E-3	3.595080416E-2
4.875000000E-3	3.787347026E-2
4.895833333E-3	4.086428419E-2
4.916666667E-3	4.199346904E-2
4.937500000E-3	4.425183874E-2
4.958333333E-3	4.678487503E-2
4.979166667E-3	4.861598560E-2
5.000000000E-3	4.870754112E-2
5.020833333E-3	5.298013245E-2
5.041666667E-3	5.679494613E-2
5.062500000E-3	5.874813074E-2
5.083333333E-3	5.880916776E-2
5.104166667E-3	6.036561174E-2
5.125000000E-3	6.131168554E-2
5.145833333E-3	6.070131535E-2
5.166666667E-3	6.216620380E-2
5.187500000E-3	6.494338816E-2
5.208333333E-3	6.680501724E-2
5.229166667E-3	6.845301675E-2
5.250000000E-3	6.912442396E-2
5.270833333E-3	6.808679464E-2
5.291666667E-3	6.625568407E-2
5.312500000E-3	6.469924009E-2
5.333333333E-3	6.198309275E-2
5.354166667E-3	6.073183386E-2
5.375000000E-3	5.948057497E-2
5.395833333E-3	5.670339061E-2
5.416666667E-3	5.130161443E-2
5.437500000E-3	4.675435652E-2
5.458333333E-3	4.086428419E-2
5.479166667E-3	3.808709983E-2
5.500000000E-3	3.665272988E-2
5.520833333E-3	3.469954527E-2
5.541666667E-3	3.118991668E-2
5.562500000E-3	2.725302896E-2
5.583333333E-3	1.965392010E-2
5.604166667E-3	1.364177374E-2
5.625000000E-3	7.660145878E-3
5.645833333E-3	-1.068147832E-3
5.666666667E-3	-7.568590350E-3
5.687500000E-3	-1.049836726E-2
5.708333333E-3	-1.550340281E-2
5.729166667E-3	-2.002014222E-2
5.750000000E-3	-2.484206671E-2
5.770833333E-3	-2.902310251E-2
5.791666667E-3	-3.283791620E-2
5.812500000E-3	-3.628650777E-2
5.833333333E-3	-4.007080294E-2
5.854166667E-3	-4.397717215E-2
5.875000000E-3	-4.614398633E-2
5.895833333E-3	-4.626606037E-2
5.916666667E-3	-4.861598560E-2
5.937500000E-3	-5.194250313E-2
5.958333333E-3	-5.258339183E-2
5.979166667E-3	-5.780205695E-2
6.000000000E-3	-6.393627735E-2
6.020833333E-3	-6.820886868E-2
6.041666667E-3	-7.052827540E-2
6.062500000E-3	-7.260353404E-2
6.083333333E-3	-7.211523789E-2
6.104166667E-3	-7.229834895E-2
6.125000000E-3	-7.135227515E-2
6.145833333E-3	-7.168797876E-2
6.166666667E-3	-7.177953429E-2
6.187500000E-3	-7.293923765E-2
6.208333333E-3	-7.501449629E-2
6.229166667E-3	-7.477034822E-2
6.250000000E-3	-7.443464461E-2
6.270833333E-3	-7.220679342E-2
6.291666667E-3	-6.762901700E-2
6.312500000E-3	-6.006042665E-2
6.333333333E-3	-5.392620624E-2
6.354166667E-3	-5.038605914E-2
6.375000000E-3	-4.528946806E-2
6.395833333E-3	-4.550309763E-2
6.416666667E-3	-4.718161565E-2
6.437500000E-3	-4.855494858E-2
6.458333333E-3	-4.620502335E-2
6.479166667E-3	-3.759880367E-2
6.500000000E-3	-3.045747246E-2
6.520833333E-3	-2.661214026E-2
6.541666667E-3	-2.349925230E-2
6.562500000E-3	-1.919614246E-2
6.583333333E-3	-1.629688406E-2
6.604166667E-3	-1.373332926E-2
6.625000000E-3	-8.728293710E-3
6.645833333E-3	-5.432294687E-3
6.666666667E-3	-3.051850948E-3
6.687500000E-3	2.624591815E-3
6.708333333E-3	6.836146123E-3
6.729166667E-3	9.918515580E-3
6.750000000E-3	1.275673696E-2
6.770833333E-3	1.559495834E-2
6.791666667E-3	1.541184729E-2
6.812500000E-3	1.339762566E-2
6.833333333E-3	1.272621845E-2
6.854166667E-3	1.721243934E-2
6.875000000E-3	1.840266121E-2
6.895833333E-3	1.507614368E-2
6.916666667E-3	1.611377300E-2
6.937500000E-3	2.264473403E-2
6.958333333E-3	2.301095614E-2
6.979166667E-3	2.450636311E-2
7.000000000E-3	3.128147221E-2
7.020833333E-3	3.518784143E-2
7.041666667E-3	3.250221259E-2
7.062500000E-3	3.515732292E-2
7.083333333E-3	3.650013733E-2
7.104166667E-3	3.329569384E-2
7.125000000E-3	3.152562029E-2
7.145833333E-3	3.469954527E-2
7.166666667E-3	3.778191473E-2
7.187500000E-3	3.994872890E-2
7.208333333E-3	4.086428419E-2
7.229166667E-3	4.272591327E-2
7.250000000E-3	4.446546831E-2
7.270833333E-3	4.452650533E-2
7.291666667E-3	4.696798608E-2
7.312500000E-3	5.194250313E-2
7.333333333E-3	5.462813196E-2
7.354166667E-3	5.487228004E-2
7.375000000E-3	5.645924253E-2
7.395833333E-3	5.789361248E-2
7.416666667E-3	5.810724204E-2
7.437500000E-3	5.923642689E-2
7.458333333E-3	6.167790765E-2
7.479166667E-3	6.396679586E-2
7.500000000E-3	6.741538743E-2
7.520833333E-3	6.854457228E-2
7.541666667E-3	6.619464705E-2
7.562500000E-3	6.366161077E-2
7.583333333E-3	6.112857448E-2
7.604166667E-3	6.048768578E-2
7.625000000E-3	5.880916776E-2
7.645833333E-3	5.859553819E-2
7.666666667E-3	5.722220527E-2
7.687500000E-3	5.355998413E-2
7.708333333E-3	4.763939329E-2
7.729166667E-3	4.348887600E-2
7.750000000E-3	3.997924741E-2
7.770833333E-3	3.625598926E-2
7.791666667E-3	3.341776788E-2
7.812500000E-3	3.210547197E-2
7.833333333E-3	2.743614002E-2
7.854166667E-3	2.090517899E-2
7.875000000E-3	1.525925474E-2
7.895833333E-3	8.148442030E-3
7.916666667E-3	1.647999512E-3
7.937500000E-3	-5.371257668E-3
7.958333333E-3	-1.028473769E-2
7.979166667E-3	-1.464888455E-2
8.000000000E-3	-1.956236457E-2
8.020833333E-3	-2.227851192E-2
8.041666667E-3	-2.697836238E-2
8.062500000E-3	-3.152562029E-2
8.083333333E-3	-3.405865658E-2
8.104166667E-3	-3.765984069E-2
8.125000000E-3	-4.208502457E-2
8.145833333E-3	-4.483169042E-2
8.166666667E-3	-4.687643056E-2
8.187500000E-3	-4.837183752E-2
8.208333333E-3	-4.901272622E-2
8.229166667E-3	-5.133213294E-2
8.250000000E-3	-5.545213172E-2
8.270833333E-3	-6.073183386E-2
8.291666667E-3	-6.598101749E-2
8.312500000E-3	-6.991790521E-2
8.333333333E-3	-7.141331217E-2
8.354166667E-3	-7.184057131E-2
8.375000000E-3	-7.168797876E-2
8.395833333E-3	-7.123020112E-2
8.416666667E-3	-7.214575640E-2
8.437500000E-3	-7.159642323E-2
8.458333333E-3	-7.235938597E-2
8.479166667E-3	-7.480086673E-2
8.500000000E-3	-7.531968139E-2
8.520833333E-3	-7.571642201E-2
8.541666667E-3	-7.553331095E-2
8.562500000E-3	-7.098605304E-2
8.583333333E-3	-6.463820307E-2
8.604166667E-3	-5.737479781E-2
8.625000000E-3	-5.352946562E-2
8.645833333E-3	-5.114902188E-2
8.666666667E-3	-4.812768944E-2
8.687500000E-3	-4.666280099E-2
8.708333333E-3	-5.182042909E-2
8.729166667E-3	-5.313272500E-2
8.750000000E-3	-4.229865413E-2
8.770833333E-3	-3.018280587E-2
8.791666667E-3	-2.899258400E-2
8.812500000E-3	-2.841273232E-2
8.833333333E-3	-2.243110446E-2
8.854166667E-3	-1.858577227E-2
8.875000000E-3	-1.681569872E-2
8.895833333E-3	-1.184118168E-2
8.916666667E-3	-7.690664388E-3
8.937500000E-3	-5.493331706E-3
8.958333333E-3	7.629627369E-4
8.979166667E-3	5.706961272E-3
9.000000000E-3	6.897183142E-3
9.020833333E-3	1.165807062E-2
9.041666667E-3	1.773125401E-2
9.062500000E-3	1.840266121E-2
9.083333333E-3	1.379436628E-2
9.104166667E-3	1.245155187E-2
9.125000000E-3	1.739555040E-2
9.145833333E-3	2.136295663E-2
9.166666667E-3	1.568651387E-2
9.187500000E-3	1.428266243E-2
9.208333333E-3	2.114932707E-2
9.229166667E-3	2.554399243E-2
9.250000000E-3	2.362132633E-2
9.270833333E-3	2.639851070E-2
9.291666667E-3	3.341776788E-2
9.312500000E-3	3.418073061E-2
9.333333333E-3	3.418073061E-2
9.354166667E-3	3.711050752E-2
9.375000000E-3	3.759880367E-2
9.395833333E-3	3.442487869E-2
9.416666667E-3	3.387554552E-2
9.437500000E-3	3.726310007E-2
9.458333333E-3	4.062013611E-2
9.479166667E-3	4.077272866E-2
