"Time (s)"	"Recording (a.u.)"
3.125000000E-3	5.838190863E-2
3.145833333E-3	5.935850093E-2
3.166666667E-3	5.987731559E-2
3.187500000E-3	5.975524155E-2
3.208333333E-3	5.896176031E-2
3.229166667E-3	5.929746391E-2
3.250000000E-3	5.761894589E-2
3.270833333E-3	5.749687185E-2
3.291666667E-3	5.606250191E-2
3.312500000E-3	5.471968749E-2
3.333333333E-3	5.380413221E-2
3.354166667E-3	5.096591082E-2
3.375000000E-3	4.989776299E-2
3.395833333E-3	4.730368969E-2
3.416666667E-3	4.568620869E-2
3.437500000E-3	4.293954283E-2
3.458333333E-3	4.171880245E-2
3.479166667E-3	3.845332194E-2
3.500000000E-3	3.714102603E-2
3.520833333E-3	3.332621235E-2
3.541666667E-3	3.164769433E-2
3.562500000E-3	2.893154698E-2
3.583333333E-3	2.627643666E-2
3.604166667E-3	2.288888211E-2
3.625000000E-3	2.111880856E-2
3.645833333E-3	1.791436506E-2
3.666666667E-3	1.483199561E-2
3.687500000E-3	1.062044130E-2
3.708333333E-3	8.392590106E-3
3.729166667E-3	5.005035554E-3
3.750000000E-3	1.739555040E-3
3.770833333E-3	-1.586962493E-3
3.791666667E-3	-4.211554308E-3
3.812500000E-3	-7.080294198E-3
3.833333333E-3	-1.068147832E-2
3.854166667E-3	-1.376384777E-2
3.875000000E-3	-1.702932829E-2
3.895833333E-3	-1.998962371E-2
3.916666667E-3	-2.325510422E-2
3.937500000E-3	-2.618488113E-2
3.958333333E-3	-2.923673208E-2
3.979166667E-3	-3.247169408E-2
4.000000000E-3	-3.509628590E-2
4.020833333E-3	-3.845332194E-2
4.041666667E-3	-4.074221015E-2
4.062500000E-3	-4.364146855E-2
4.083333333E-3	-4.614398633E-2
4.104166667E-3	-4.733420820E-2
4.125000000E-3	-5.053865169E-2
4.145833333E-3	-5.294961394E-2
4.166666667E-3	-5.429242836E-2
4.187500000E-3	-5.652027955E-2
4.208333333E-3	-5.722220527E-2
4.229166667E-3	-5.856501968E-2
4.250000000E-3	-5.969420454E-2
4.270833333E-3	-5.990783410E-2
4.291666667E-3	-6.076235237E-2
4.312500000E-3	-6.134220405E-2
4.333333333E-3	-6.167790765E-2
4.354166667E-3	-6.036561174E-2
4.375000000E-3	-6.021301920E-2
4.395833333E-3	-5.883968627E-2
4.416666667E-3	-5.767998291E-2
4.437500000E-3	-5.639820551E-2
4.458333333E-3	-5.581835383E-2
4.479166667E-3	-5.349894711E-2
4.500000000E-3	-5.227820673E-2
4.520833333E-3	-5.066072573E-2
4.541666667E-3	-4.834131901E-2
4.562500000E-3	-4.620502335E-2
4.583333333E-3	-4.382457961E-2
4.604166667E-3	-4.217658010E-2
4.625000000E-3	-3.933835871E-2
4.645833333E-3	-3.674428541E-2
4.666666667E-3	-3.451643422E-2
4.687500000E-3	-3.225806452E-2
4.708333333E-3	-2.880947295E-2
4.729166667E-3	-2.685628834E-2
4.750000000E-3	-2.392651143E-2
4.770833333E-3	-2.059999390E-2
4.791666667E-3	-1.770073550E-2
4.812500000E-3	-1.480147710E-2
4.833333333E-3	-1.141392254E-2
4.854166667E-3	-8.331553087E-3
4.875000000E-3	-5.462813196E-3
4.895833333E-3	-2.349925230E-3
4.916666667E-3	8.545182653E-4
4.937500000E-3	4.211554308E-3
4.958333333E-3	6.866664632E-3
4.979166667E-3	1.052888577E-2
5.000000000E-3	1.361125523E-2
5.020833333E-3	1.675466170E-2
5.041666667E-3	2.066103092E-2
5.062500000E-3	2.267525254E-2
5.083333333E-3	2.661214026E-2
5.104166667E-3	2.966399121E-2
5.125000000E-3	3.253273110E-2
5.145833333E-3	3.521835994E-2
5.166666667E-3	3.802606281E-2
5.187500000E-3	4.095583972E-2
5.208333333E-3	4.358043153E-2
5.229166667E-3	4.535050508E-2
5.250000000E-3	4.779198584E-2
5.270833333E-3	5.029450362E-2
5.291666667E-3	5.182042909E-2
5.312500000E-3	5.310220649E-2
5.333333333E-3	5.511642811E-2
5.354166667E-3	5.670339061E-2
5.375000000E-3	5.734427931E-2
5.395833333E-3	5.862605670E-2
5.416666667E-3	5.929746391E-2
5.437500000E-3	5.981627857E-2
5.458333333E-3	5.951109348E-2
5.479166667E-3	5.896176031E-2
5.500000000E-3	5.935850093E-2
5.520833333E-3	5.829035310E-2
5.541666667E-3	5.716116825E-2
5.562500000E-3	5.679494613E-2
5.583333333E-3	5.557420576E-2
5.604166667E-3	5.355998413E-2
5.625000000E-3	5.243079928E-2
5.645833333E-3	5.044709616E-2
5.666666667E-3	4.837183752E-2
5.687500000E-3	4.593035676E-2
5.708333333E-3	4.467909787E-2
5.729166667E-3	4.199346904E-2
5.750000000E-3	4.019287698E-2
5.770833333E-3	3.744621113E-2
5.791666667E-3	3.482161931E-2
5.812500000E-3	3.274636067E-2
5.833333333E-3	2.987762078E-2
5.854166667E-3	2.658162175E-2
5.875000000E-3	2.450636311E-2
5.895833333E-3	2.224799341E-2
5.916666667E-3	1.864680929E-2
5.937500000E-3	1.565599536E-2
5.958333333E-3	1.290932951E-2
5.979166667E-3	9.521774957E-3
6.000000000E-3	6.714072085E-3
6.020833333E-3	3.112887967E-3
6.041666667E-3	7.324442274E-4
6.062500000E-3	-2.655110324E-3
6.083333333E-3	-5.767998291E-3
6.104166667E-3	-9.002960295E-3
6.125000000E-3	-1.223792230E-2
6.145833333E-3	-1.562547685E-2
6.166666667E-3	-1.864680929E-2
6.187500000E-3	-2.154606769E-2
6.208333333E-3	-2.441480758E-2
6.229166667E-3	-2.786339915E-2
6.250000000E-3	-3.027436140E-2
6.270833333E-3	-3.338724937E-2
6.291666667E-3	-3.598132267E-2
6.312500000E-3	-3.906369213E-2
6.333333333E-3	-4.168828394E-2
6.354166667E-3	-4.358043153E-2
6.375000000E-3	-4.644917142E-2
6.395833333E-3	-4.815820795E-2
6.416666667E-3	-5.105746635E-2
6.437500000E-3	-5.267494736E-2
6.458333333E-3	-5.432294687E-2
6.479166667E-3	-5.575731681E-2
6.500000000E-3	-5.734427931E-2
6.520833333E-3	-5.755790887E-2
6.541666667E-3	-5.877864925E-2
6.562500000E-3	-5.948057497E-2
6.583333333E-3	-6.033509323E-2
6.604166667E-3	-6.009094516E-2
6.625000000E-3	-5.987731559E-2
6.645833333E-3	-5.856501968E-2
6.666666667E-3	-5.853450117E-2
6.687500000E-3	-5.731376080E-2
6.708333333E-3	-5.529953917E-2
6.729166667E-3	-5.526902066E-2
6.750000000E-3	-5.316324351E-2
6.770833333E-3	-5.182042909E-2
6.791666667E-3	-4.925687429E-2
6.812500000E-3	-4.776146733E-2
6.833333333E-3	-4.553361614E-2
6.854166667E-3	-4.333628346E-2
6.875000000E-3	-4.156620991E-2
6.895833333E-3	-3.833124790E-2
6.916666667E-3	-3.738517411E-2
6.937500000E-3	-3.344828639E-2
6.958333333E-3	-3.070162053E-2
6.979166667E-3	-2.786339915E-2
7.000000000E-3	-2.505569628E-2
7.020833333E-3	-2.294991913E-2
7.041666667E-3	-1.953184606E-2
7.062500000E-3	-1.727347636E-2
7.083333333E-3	-1.321451460E-2
7.104166667E-3	-1.071199683E-2
7.125000000E-3	-6.653035066E-3
7.145833333E-3	-4.150517289E-3
7.166666667E-3	-9.460737938E-4
7.187500000E-3	2.044740135E-3
7.208333333E-3	4.577776421E-3
7.229166667E-3	7.446516312E-3
7.250000000E-3	1.232947783E-2
7.270833333E-3	1.425214393E-2
7.291666667E-3	1.773125401E-2
7.312500000E-3	2.072206793E-2
7.333333333E-3	2.410962249E-2
7.354166667E-3	2.642902921E-2
7.375000000E-3	2.938932463E-2
7.395833333E-3	3.289895322E-2
7.416666667E-3	3.537095248E-2
7.437500000E-3	3.830072939E-2
7.458333333E-3	4.062013611E-2
