"Time (s)"	"Recording (a.u.)"
3.562500000E-3	-9.387493515E-2
3.583333333E-3	-1.031525620E-2
3.604166667E-3	7.049775689E-3
3.625000000E-3	-9.952085940E-2
3.645833333E-3	-4.861598560E-2
3.666666667E-3	1.492355113E-2
3.687500000E-3	-2.652058473E-2
3.708333333E-3	-2.560502945E-2
3.729166667E-3	-4.583880123E-2
3.750000000E-3	-5.185094760E-2
3.770833333E-3	2.685628834E-2
3.791666667E-3	3.366191595E-2
3.812500000E-3	-2.868739891E-3
3.833333333E-3	3.488265633E-2
3.854166667E-3	4.052858058E-2
3.875000000E-3	3.106784265E-2
3.895833333E-3	6.100650044E-2
3.916666667E-3	3.265480514E-2
3.937500000E-3	4.614398633E-2
3.958333333E-3	5.368205817E-2
3.979166667E-3	-1.281777398E-3
4.000000000E-3	5.493331706E-2
4.020833333E-3	2.533036287E-2
4.041666667E-3	-3.289895322E-2
4.062500000E-3	-1.696829127E-2
4.083333333E-3	-7.293923765E-3
4.104166667E-3	5.127109592E-2
4.125000000E-3	5.883968627E-2
4.145833333E-3	5.990783410E-2
4.166666667E-3	5.240028077E-2
4.187500000E-3	4.000976592E-2
4.208333333E-3	8.255256813E-2
4.229166667E-3	6.109805597E-2
4.250000000E-3	4.193243202E-2
4.270833333E-3	9.714041566E-2
4.291666667E-3	5.789361248E-2
4.312500000E-3	1.843317972E-2
4.333333333E-3	6.967375713E-2
4.354166667E-3	4.391613514E-2
4.375000000E-3	3.698843348E-2
4.395833333E-3	7.275612659E-2
4.416666667E-3	1.751762444E-2
4.437500000E-3	-1.095614490E-2
4.458333333E-3	4.361095004E-2
4.479166667E-3	4.351939451E-2
4.500000000E-3	-7.232886746E-3
4.520833333E-3	-2.298043764E-2
4.541666667E-3	-1.370281075E-2
4.562500000E-3	1.498458815E-2
4.583333333E-3	-2.963347270E-2
4.604166667E-3	-3.778191473E-2
4.625000000E-3	8.511612293E-2
4.645833333E-3	4.324472793E-2
4.666666667E-3	-6.195257424E-3
4.687500000E-3	7.229834895E-2
4.708333333E-3	4.599139378E-2
4.729166667E-3	5.087435530E-2
4.750000000E-3	1.108432264E-1
4.770833333E-3	1.087069308E-1
