"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
2.937211969E0	1.002365162E3	8.022577785E-1
2.952212282E0	1.002611388E3	8.855594269E-1
2.967212594E0	1.002595562E3	8.802064720E-1
2.982212907E0	1.002634623E3	8.934181316E-1
2.997213219E0	1.002294470E3	7.783340118E-1
3.012213532E0	1.001966474E3	6.672890373E-1
3.027213844E0	1.001483940E3	5.037920252E-1
3.042214157E0	1.000942929E3	3.202937922E-1
3.057214469E0	1.000663548E3	2.254567539E-1
3.072214782E0	1.000380214E3	1.292236529E-1
3.087215094E0	1.000173620E3	5.902055131E-2
3.102215407E0	9.998836333E2	-3.956929542E-2
3.117215719E0	9.998019304E2	-6.735700922E-2
3.132216032E0	9.996495769E2	-1.191856341E-1
3.147216344E0	9.994424753E2	-1.896641356E-1
3.162216657E0	9.994362517E2	-1.917825463E-1
3.177216969E0	9.993826301E2	-2.100354274E-1
3.192217282E0	9.991944876E2	-2.740950056E-1
3.207217594E0	9.991175657E2	-3.002926436E-1
3.222217907E0	9.991022882E2	-3.054962498E-1
3.237218219E0	9.990566923E2	-3.210274575E-1
3.252218532E0	9.989746455E2	-3.489783396E-1
3.267218844E0	9.989387902E2	-3.611946284E-1
3.282219157E0	9.990030913E2	-3.392871824E-1
3.297219469E0	9.990286945E2	-3.305649447E-1
3.312219782E0	9.991352051E2	-2.942847714E-1
3.327220094E0	9.991666982E2	-2.835589065E-1
3.342220407E0	9.993498201E2	-2.212049793E-1
3.366439344E0	9.996283553E2	-1.264061666E-1
3.381439657E0	9.998767772E2	-4.190092962E-2
3.396439969E0	1.000219820E3	7.472224374E-2
3.411440282E0	1.000372997E3	1.267716190E-1
3.426440594E0	1.000618870E3	2.102855623E-1
3.441440907E0	1.000655434E3	2.227014981E-1
3.456441219E0	1.000691181E3	2.348391970E-1
3.471441532E0	1.000813435E3	2.763431861E-1
3.486441844E0	1.000816092E3	2.772449122E-1
3.501442157E0	1.001001733E3	3.402484348E-1
3.516442469E0	1.001292789E3	4.389806116E-1
3.531442782E0	1.001531996E3	5.200818477E-1
3.546443094E0	1.001364930E3	4.634435216E-1
3.561443407E0	1.001203229E3	4.086062457E-1
3.576443719E0	1.000141396E3	4.806785465E-2
3.591444032E0	9.991598997E2	-2.858742692E-1
3.606444344E0	9.987049777E2	-4.408785338E-1
3.621444657E0	9.987443276E2	-4.274653644E-1
3.636444969E0	9.986900593E2	-4.459640122E-1
3.651445282E0	9.984997263E2	-5.108594814E-1
3.666445594E0	9.983628720E2	-5.575362742E-1
3.681445907E0	9.979944806E2	-6.832468652E-1
3.696446219E0	9.975725393E2	-8.273449919E-1
3.711446532E0	9.971050937E2	-9.871257688E-1
3.726446844E0	9.967685240E2	-1.102263781E0
3.741447157E0	9.966304252E2	-1.149528857E0
3.756447469E0	9.969797184E2	-1.030006661E0
3.771447782E0	9.972679697E2	-9.314350174E-1
3.786448094E0	9.976942277E2	-7.857743851E-1
3.801448407E0	9.980355622E2	-6.692234921E-1
3.816448719E0	9.982422490E2	-5.986876994E-1
3.831449032E0	9.987609155E2	-4.218113847E-1
3.846449344E0	9.990837318E2	-3.118169015E-1
3.861449657E0	9.994340501E2	-1.925319429E-1
3.876449969E0	9.997961613E2	-6.931929385E-2
3.891450282E0	1.000056772E3	1.930137465E-2
3.906450594E0	1.000426374E3	1.449054308E-1
3.921450907E0	1.000585726E3	1.990301198E-1
3.936451219E0	1.000831781E3	2.825704517E-1
3.951451532E0	1.001277361E3	4.337486440E-1
3.966451844E0	1.001400871E3	4.756296780E-1
3.981452157E0	1.001536523E3	5.216162589E-1
3.996452469E0	1.001568829E3	5.325663695E-1
4.011452782E0	1.001576987E3	5.353314710E-1
4.026453094E0	1.001578405E3	5.358119468E-1
4.041453407E0	1.001711320E3	5.808548183E-1
4.073692651E0	1.001684704E3	5.718360674E-1
4.088692964E0	1.001652924E3	5.610666504E-1
4.103693276E0	1.001773404E3	6.018900530E-1
4.118693589E0	1.001958225E3	6.644952295E-1
4.133693901E0	1.001851949E3	6.284986961E-1
4.148694214E0	1.001973949E3	6.698205801E-1
4.163694526E0	1.002069105E3	7.020431076E-1
4.178694839E0	1.002038793E3	6.917790865E-1
4.193695151E0	1.001964701E3	6.666884481E-1
4.208695464E0	1.001903834E3	6.460734664E-1
4.223695776E0	1.001789284E3	6.072698895E-1
4.238696089E0	1.001640207E3	5.567571129E-1
4.253696401E0	1.001503153E3	5.103049014E-1
4.268696714E0	1.001432590E3	4.863837577E-1
4.283697026E0	1.001392000E3	4.726221873E-1
4.298697339E0	1.001393716E3	4.732037655E-1
4.313697651E0	1.001527333E3	5.185013390E-1
4.328697964E0	1.001547844E3	5.254536265E-1
4.343698276E0	1.001586242E3	5.384680621E-1
4.358698589E0	1.001658858E3	5.630776924E-1
4.373698901E0	1.001542878E3	5.237703330E-1
4.388699214E0	1.001112904E3	3.779666539E-1
4.403699526E0	1.000734577E3	2.495727473E-1
4.418699839E0	1.000483496E3	1.643092021E-1
4.433700151E0	1.000136305E3	4.633723681E-2
4.448700464E0	1.000606328E3	2.060265837E-1
4.463700776E0	1.000852912E3	2.897429637E-1
4.478701089E0	1.001114261E3	3.784270085E-1
4.493701401E0	1.001143555E3	3.883647002E-1
4.508701714E0	1.001039677E3	3.531231179E-1
4.523702026E0	1.001055836E3	3.586055969E-1
4.538702339E0	1.001504382E3	5.107214664E-1
4.553702651E0	1.001965510E3	6.669624776E-1
4.568702964E0	1.002134634E3	7.242297368E-1
4.583703276E0	1.001540648E3	5.230145114E-1
4.598703589E0	1.001395323E3	4.737488075E-1
4.613703901E0	1.001539699E3	5.226929264E-1
4.628704214E0	1.002078995E3	7.053919606E-1
4.643704526E0	1.002416645E3	8.196783518E-1
4.658704839E0	1.002604336E3	8.831740217E-1
4.673705151E0	1.002286350E3	7.755858994E-1
4.688705464E0	1.002133603E3	7.238805627E-1
4.703705776E0	1.002150490E3	7.295975477E-1
4.718706089E0	1.001746571E3	5.927987808E-1
4.733706401E0	1.001178720E3	4.002928320E-1
4.748706714E0	1.000854304E3	2.902152973E-1
4.769842073E0	1.000145502E3	4.946364926E-2
4.784842386E0	9.998832815E2	-3.968892398E-2
4.799842698E0	9.996233060E2	-1.281242296E-1
4.814843011E0	9.995319274E2	-1.592192256E-1
4.829843323E0	9.993545787E2	-2.195849550E-1
4.844843636E0	9.992170675E2	-2.664056217E-1
4.859843948E0	9.990640277E2	-3.185287016E-1
4.874844261E0	9.989984083E2	-3.408826066E-1
4.889844573E0	9.989599848E2	-3.539733066E-1
4.904844886E0	9.988103352E2	-4.049678049E-1
4.919845198E0	9.987421801E2	-4.281973503E-1
4.934845511E0	9.987115292E2	-4.386452468E-1
4.949845823E0	9.986640144E2	-4.548427751E-1
4.964846136E0	9.985749695E2	-4.852018117E-1
4.979846448E0	9.985961835E2	-4.779685987E-1
4.994846761E0	9.986023242E2	-4.758748855E-1
5.009847073E0	9.985994420E2	-4.768575844E-1
5.024847386E0	9.986122971E2	-4.724746574E-1
5.039847698E0	9.986607977E2	-4.559393865E-1
5.054848011E0	9.987136224E2	-4.379317204E-1
5.069848323E0	9.988855837E2	-3.793242838E-1
5.084848636E0	9.990156287E2	-3.350160142E-1
5.099848948E0	9.991791226E2	-2.793275934E-1
5.114849261E0	9.994909570E2	-1.731627636E-1
5.129849573E0	9.997224473E2	-9.439410678E-2
5.144849886E0	9.999545373E2	-1.545801060E-2
5.159850198E0	1.000161087E3	5.476082063E-2
5.174850511E0	1.000156627E3	5.324477290E-2
5.189850823E0	1.000030180E3	1.026088308E-2
5.204851136E0	1.000002726E3	9.267702237E-4
5.219851448E0	9.997440069E2	-8.705992463E-2
5.234851761E0	9.997971298E2	-6.898986192E-2
5.249852073E0	9.997465832E2	-8.618353858E-2
5.264852386E0	9.999324153E2	-2.298033814E-2
