"Time (s)"	"Recording (a.u.)"
0.000000000E0	2.450636311E-2
2.083333333E-5	2.511673330E-2
4.166666667E-5	1.541184729E-2
6.250000000E-5	9.186071352E-3
8.333333333E-5	1.495406964E-2
1.041666667E-4	1.748710593E-2
1.250000000E-4	1.022370067E-2
1.458333333E-4	1.098666341E-2
1.666666667E-4	1.419110691E-2
1.875000000E-4	5.798516800E-3
2.083333333E-4	-5.798516800E-3
2.291666667E-4	-6.591998047E-3
2.500000000E-4	-6.225775933E-3
2.708333333E-4	-1.113925596E-2
2.916666667E-4	-1.388592181E-2
3.125000000E-4	-1.614429151E-2
3.333333333E-4	-2.346873379E-2
3.541666667E-4	-2.816858425E-2
3.750000000E-4	-2.932828761E-2
3.958333333E-4	-3.448591571E-2
4.166666667E-4	-4.065065462E-2
4.375000000E-4	-4.266487625E-2
4.583333333E-4	-4.217658010E-2
4.791666667E-4	-4.177983947E-2
5.000000000E-4	-3.756828516E-2
5.208333333E-4	-3.329569384E-2
5.416666667E-4	-3.244117557E-2
5.625000000E-4	-3.192236091E-2
5.833333333E-4	-2.462843715E-2
6.041666667E-4	-1.590014344E-2
6.250000000E-4	-6.683553575E-3
6.458333333E-4	1.037629322E-3
6.666666667E-4	6.591998047E-3
6.875000000E-4	1.049836726E-2
7.083333333E-4	1.370281075E-2
7.291666667E-4	1.095614490E-2
7.500000000E-4	6.042664876E-3
7.708333333E-4	1.785332804E-2
7.916666667E-4	3.353984191E-2
8.125000000E-4	3.277687918E-2
8.333333333E-4	2.594073305E-2
8.541666667E-4	2.700888089E-2
8.750000000E-4	3.198339793E-2
8.958333333E-4	3.079317606E-2
9.166666667E-4	3.402813807E-2
9.375000000E-4	4.129154332E-2
9.583333333E-4	3.942991424E-2
9.791666667E-4	2.877895444E-2
1.000000000E-3	2.368236335E-2
1.020833333E-3	2.105777154E-2
1.041666667E-3	1.413006989E-2
1.062500000E-3	1.043733024E-2
1.083333333E-3	1.358073672E-2
1.104166667E-3	1.492355113E-2
1.125000000E-3	1.297036653E-2
1.145833333E-3	1.339762566E-2
1.166666667E-3	1.309244057E-2
1.187500000E-3	4.455702383E-3
1.208333333E-3	-3.936887722E-3
1.229166667E-3	-6.347849971E-3
1.250000000E-3	-9.430219428E-3
1.270833333E-3	-1.126133000E-2
1.291666667E-3	-1.416058840E-2
1.312500000E-3	-1.815851314E-2
1.333333333E-3	-2.578814051E-2
1.354166667E-3	-3.039643544E-2
1.375000000E-3	-3.170873135E-2
1.395833333E-3	-3.668324839E-2
1.416666667E-3	-4.196295053E-2
1.437500000E-3	-4.351939451E-2
1.458333333E-3	-4.248176519E-2
1.479166667E-3	-4.251228370E-2
1.500000000E-3	-4.022339549E-2
1.520833333E-3	-3.503524888E-2
1.541666667E-3	-3.265480514E-2
1.562500000E-3	-3.228858303E-2
1.583333333E-3	-2.523880734E-2
1.604166667E-3	-1.342814417E-2
1.625000000E-3	-5.401776177E-3
1.645833333E-3	1.190221870E-3
1.666666667E-3	5.279702139E-3
1.687500000E-3	1.126133000E-2
1.708333333E-3	1.620532853E-2
1.729166667E-3	1.098666341E-2
1.750000000E-3	8.056886502E-3
1.770833333E-3	1.904354991E-2
1.791666667E-3	3.424176763E-2
1.812500000E-3	3.357036042E-2
1.833333333E-3	2.557451094E-2
1.854166667E-3	2.987762078E-2
1.875000000E-3	3.277687918E-2
1.895833333E-3	3.097628712E-2
1.916666667E-3	3.543198950E-2
1.937500000E-3	4.327524644E-2
1.958333333E-3	3.915524766E-2
1.979166667E-3	2.923673208E-2
2.000000000E-3	2.587969604E-2
2.020833333E-3	2.185125278E-2
2.041666667E-3	1.483199561E-2
2.062500000E-3	1.104770043E-2
2.083333333E-3	1.464888455E-2
2.104166667E-3	1.565599536E-2
2.125000000E-3	1.132236702E-2
2.145833333E-3	1.293984802E-2
2.166666667E-3	1.367229225E-2
2.187500000E-3	5.157628101E-3
2.208333333E-3	-3.540147099E-3
2.229166667E-3	-7.141331217E-3
2.250000000E-3	-8.545182653E-3
2.270833333E-3	-1.156651509E-2
2.291666667E-3	-1.361125523E-2
2.312500000E-3	-1.934873501E-2
2.333333333E-3	-2.609332560E-2
2.354166667E-3	-2.945036164E-2
2.375000000E-3	-3.122043519E-2
2.395833333E-3	-3.735465560E-2
2.416666667E-3	-4.220709861E-2
2.437500000E-3	-4.339732047E-2
2.458333333E-3	-4.416028321E-2
2.479166667E-3	-4.440443129E-2
2.500000000E-3	-3.912472915E-2
2.520833333E-3	-3.332621235E-2
2.541666667E-3	-3.424176763E-2
2.562500000E-3	-3.363139744E-2
2.583333333E-3	-2.560502945E-2
2.604166667E-3	-1.379436628E-2
2.625000000E-3	-5.859553819E-3
2.645833333E-3	3.357036042E-4
2.666666667E-3	6.469924009E-3
2.687500000E-3	1.214636677E-2
2.708333333E-3	1.602221747E-2
2.729166667E-3	1.098666341E-2
2.750000000E-3	8.148442030E-3
2.770833333E-3	1.876888333E-2
2.791666667E-3	3.402813807E-2
2.812500000E-3	3.244117557E-2
2.833333333E-3	2.423169652E-2
2.854166667E-3	2.829065828E-2
2.875000000E-3	3.280739769E-2
2.895833333E-3	2.981658376E-2
2.916666667E-3	3.402813807E-2
2.937500000E-3	4.199346904E-2
2.958333333E-3	3.747672964E-2
2.979166667E-3	2.819910276E-2
3.000000000E-3	2.496414075E-2
3.020833333E-3	2.197332682E-2
3.041666667E-3	1.464888455E-2
3.062500000E-3	1.046784875E-2
3.083333333E-3	1.351969970E-2
3.104166667E-3	1.577806940E-2
3.125000000E-3	1.312295907E-2
3.145833333E-3	1.321451460E-2
3.166666667E-3	1.336710715E-2
3.187500000E-3	3.997924741E-3
3.208333333E-3	-3.784295175E-3
3.229166667E-3	-6.347849971E-3
3.250000000E-3	-9.186071352E-3
3.270833333E-3	-1.150547807E-2
3.291666667E-3	-1.239051485E-2
3.312500000E-3	-1.861629078E-2
3.333333333E-3	-2.716147343E-2
3.354166667E-3	-2.829065828E-2
3.375000000E-3	-2.911465804E-2
3.395833333E-3	-3.646961882E-2
3.416666667E-3	-4.193243202E-2
3.437500000E-3	-4.196295053E-2
3.458333333E-3	-4.220709861E-2
3.479166667E-3	-4.342783898E-2
3.500000000E-3	-3.726310007E-2
3.520833333E-3	-3.302102725E-2
3.541666667E-3	-3.378398999E-2
3.562500000E-3	-3.250221259E-2
3.583333333E-3	-2.600177007E-2
3.604166667E-3	-1.394695883E-2
3.625000000E-3	-5.432294687E-3
3.645833333E-3	-6.103701895E-5
3.666666667E-3	5.859553819E-3
3.687500000E-3	1.174962615E-2
3.708333333E-3	1.510666219E-2
3.729166667E-3	9.216589862E-3
3.750000000E-3	6.500442518E-3
3.770833333E-3	1.944029054E-2
3.791666667E-3	3.518784143E-2
3.812500000E-3	3.100680563E-2
3.833333333E-3	2.310251167E-2
3.854166667E-3	3.134250923E-2
3.875000000E-3	3.256324961E-2
3.895833333E-3	2.764976959E-2
3.916666667E-3	3.479110080E-2
3.937500000E-3	4.425183874E-2
3.958333333E-3	3.729361858E-2
3.979166667E-3	2.600177007E-2
4.000000000E-3	2.606280709E-2
4.020833333E-3	2.322458571E-2
4.041666667E-3	1.312295907E-2
4.062500000E-3	8.789330729E-3
4.083333333E-3	1.608325449E-2
4.104166667E-3	1.544236579E-2
4.125000000E-3	9.613330485E-3
4.145833333E-3	1.385540330E-2
4.166666667E-3	1.492355113E-2
4.187500000E-3	2.960295419E-3
4.208333333E-3	-4.394665365E-3
4.229166667E-3	-5.157628101E-3
4.250000000E-3	-1.052888577E-2
4.270833333E-3	-1.318399609E-2
4.291666667E-3	-1.287881100E-2
4.312500000E-3	-1.898251289E-2
4.333333333E-3	-2.557451094E-2
4.354166667E-3	-2.984710227E-2
4.375000000E-3	-3.021332438E-2
4.395833333E-3	-3.546250801E-2
4.416666667E-3	-4.416028321E-2
4.437500000E-3	-4.324472793E-2
4.458333333E-3	-4.235969115E-2
4.479166667E-3	-4.309213538E-2
4.500000000E-3	-3.744621113E-2
4.520833333E-3	-3.299050874E-2
4.541666667E-3	-3.317361980E-2
4.562500000E-3	-3.241065706E-2
4.583333333E-3	-2.414014100E-2
4.604166667E-3	-1.489303262E-2
4.625000000E-3	-7.232886746E-3
4.645833333E-3	1.068147832E-3
4.666666667E-3	5.951109348E-3
4.687500000E-3	1.098666341E-2
4.708333333E-3	1.351969970E-2
4.729166667E-3	1.068147832E-2
4.750000000E-3	7.904293954E-3
4.770833333E-3	1.849421674E-2
4.791666667E-3	3.442487869E-2
4.812500000E-3	3.277687918E-2
4.833333333E-3	2.508621479E-2
4.854166667E-3	2.844325083E-2
4.875000000E-3	3.250221259E-2
4.895833333E-3	3.100680563E-2
4.916666667E-3	3.512680441E-2
4.937500000E-3	4.135258034E-2
4.958333333E-3	3.747672964E-2
